label_index	winner_index	loser_index	evaluator_index
17763	40	10	26
39559	13	58	145
55644	27	75	160
32784	0	46	50
30580	80	23	69
13257	43	60	136
63685	71	32	177
980	10	22	84
9609	77	49	119
42525	65	13	210
33000	79	46	113
36557	57	35	28
35860	68	35	44
62506	53	28	102
18145	22	10	109
24791	6	44	165
36115	10	35	204
64372	20	21	138
50827	45	68	113
48208	74	34	139
16385	70	37	65
5485	54	43	117
52051	33	1	201
40716	24	36	38
28259	8	76	152
32073	1	78	26
47874	4	34	211
29884	16	74	168
23211	63	41	56
59137	73	70	42
15745	21	37	132
33939	13	47	89
19085	58	38	146
6169	54	66	138
14863	5	65	74
36896	52	39	155
42037	59	51	5
44756	55	62	55
16225	67	37	211
45451	55	8	200
49349	28	30	89
44544	26	62	204
3333	54	15	203
51555	35	1	103
45946	78	48	150
14534	23	6	1
43118	13	40	140
11337	67	0	84
51924	20	1	55
11095	24	0	90
11588	77	0	157
42485	69	13	108
49855	71	30	160
22051	40	57	69
62136	52	28	89
64642	74	21	127
25082	14	44	216
2954	70	12	206
32960	15	46	51
37776	69	67	104
21849	28	57	151
20146	34	55	44
641	38	22	11
1716	63	52	31
6366	12	66	16
666	62	22	160
41552	73	51	42
7043	73	26	109
22352	64	57	121
17722	72	10	39
61878	66	59	20
60960	25	53	165
27314	21	76	69
49485	11	30	55
62710	28	45	42
44319	68	62	7
13661	11	33	23
5601	16	43	117
44730	25	62	113
23011	5	41	59
52247	59	1	42
13163	67	60	65
26418	79	27	152
13888	12	33	204
9664	66	49	58
15810	48	37	147
1448	28	52	31
63555	65	32	50
40627	37	36	113
2657	46	12	210
24164	16	29	113
29951	32	74	42
43349	4	40	31
62674	35	45	139
64402	63	21	117
42215	38	13	203
58596	60	25	16
4462	66	31	58
13716	80	33	47
8135	54	56	27
49629	80	30	171
11919	11	9	39
29556	68	74	206
25539	75	44	210
15684	39	65	146
40538	6	36	66
49927	32	30	39
9393	8	49	51
8582	29	49	117
49492	11	30	89
33429	2	46	38
38780	67	73	210
44868	39	62	31
22583	43	57	109
1783	33	52	42
40565	5	36	44
8259	71	56	89
31083	57	23	63
18856	7	69	160
55788	56	75	200
34476	33	47	200
42251	58	13	156
42867	43	13	109
5454	73	43	96
43238	47	40	108
15029	69	65	55
62009	15	28	117
51729	72	1	9
29917	3	74	42
55249	4	75	113
18199	23	10	39
12381	74	9	103
60040	12	63	211
56991	63	17	91
19895	41	55	19
52450	79	24	73
14148	15	6	108
39285	14	20	169
62862	73	45	121
34269	80	47	103
57930	11	80	108
31816	49	78	66
743	61	22	216
26373	47	27	55
14708	48	65	210
7957	79	56	114
22495	32	57	210
18664	10	69	42
20358	50	64	102
42646	10	13	23
39422	7	20	192
29604	37	74	216
40015	19	58	121
55470	10	75	103
57401	4	2	74
60670	45	53	109
850	69	22	117
6162	65	66	66
6230	20	66	109
856	73	22	200
55785	57	75	66
33888	56	46	169
61259	58	59	146
30886	8	23	139
36047	45	35	209
54750	2	18	131
63274	57	45	31
32107	73	78	142
25759	40	61	121
21306	27	64	104
