label_index	winner_index	loser_index	evaluator_index
58476	70	29	56
60336	20	66	199
20964	69	18	79
3368	69	52	162
46751	40	74	98
44639	56	1	116
43379	76	68	114
60650	8	65	93
8520	69	16	194
47504	11	39	15
21506	57	51	78
34359	43	4	186
3266	30	52	170
60246	50	66	179
33745	74	63	173
61498	24	62	170
55518	74	10	114
8598	75	16	179
42085	41	26	93
26274	0	37	179
57429	76	21	17
32859	53	75	116
12064	73	71	124
49304	0	54	151
18464	64	59	122
8110	54	73	121
57519	62	23	49
28350	59	47	194
2999	24	36	138
52411	34	24	49
29263	77	56	113
18846	9	59	49
5620	47	33	173
37483	8	55	125
53362	51	19	73
14792	37	49	148
33181	3	63	202
25567	15	37	56
46677	69	74	54
21688	11	51	104
41253	59	78	17
10988	55	7	134
42786	27	68	173
6329	77	30	121
14753	67	49	108
25844	5	37	189
57746	44	23	202
60387	14	66	23
43473	52	68	60
39255	8	6	35
13064	24	9	1
42285	39	26	151
48231	77	3	49
55405	7	10	194
5311	48	12	107
6884	70	30	175
45752	29	34	98
14356	41	49	123
9314	1	70	104
29879	36	56	74
30938	60	8	173
21824	53	51	55
6469	47	30	128
12205	34	71	104
418	8	72	157
10627	60	7	194
23019	38	58	8
27044	63	77	7
15485	62	43	189
6813	56	30	189
2381	20	50	107
13504	68	40	55
5651	60	33	72
25161	48	35	104
33743	50	63	207
38922	77	6	177
55934	10	2	194
57755	51	23	151
39981	41	61	179
6404	57	30	34
6094	50	33	95
33228	21	63	105
24048	58	41	134
10922	33	7	120
25720	68	37	186
52840	28	76	116
18887	7	59	8
23271	31	32	107
43759	16	28	159
38263	43	0	105
2628	19	36	106
49809	48	60	25
5131	5	12	148
29616	75	56	87
53347	70	19	148
45833	21	25	83
35523	18	14	162
19620	75	20	125
8406	64	16	204
10414	54	45	104
51430	9	46	151
13515	69	40	124
13719	53	40	208
12937	72	9	163
21314	54	18	105
45343	39	34	52
31036	10	8	7
50956	45	53	93
8490	32	16	135
33929	29	63	142
50663	21	53	194
9630	7	70	130
3700	36	52	157
6326	3	30	93
6203	38	33	23
23195	57	32	18
42671	37	26	66
45263	5	34	67
58957	34	29	120
15476	6	64	194
11743	17	71	56
38792	37	0	134
24104	53	41	78
26153	63	37	73
58440	4	29	6
23429	51	32	202
51184	77	46	17
40745	19	48	94
14241	60	49	124
33054	67	75	175
15794	69	43	8
23382	8	32	98
