label_index	winner_index	loser_index	evaluator_index
38386	22	76	87
50601	8	62	89
18917	54	20	32
56591	71	17	42
54371	49	0	33
15428	73	66	8
53926	58	0	57
21037	30	37	83
34169	29	44	27
44693	47	67	106
29167	24	36	30
57975	60	10	137
5472	4	6	167
27970	59	11	13
51072	52	34	41
5515	53	6	57
61172	22	55	73
21636	72	40	53
6610	15	71	57
49493	0	72	159
61223	26	30	10
40937	19	25	161
11475	63	2	62
27407	53	77	122
51378	41	34	107
26640	36	14	84
32346	65	5	53
44006	10	41	92
35765	17	32	72
54330	68	0	119
24541	37	22	150
3687	30	35	133
34473	6	44	123
3974	33	74	48
52202	66	50	27
22566	70	26	32
20962	17	37	87
16384	4	60	153
37955	2	76	82
24087	45	53	41
42201	18	57	83
47976	39	23	142
60774	23	55	32
39240	26	38	48
57323	71	58	14
24157	49	53	14
51555	70	50	21
29530	46	9	14
52616	61	4	33
3153	39	35	137
22283	14	69	138
12834	73	78	155
52052	63	50	75
14951	14	13	145
58495	54	1	66
62143	79	27	145
50911	77	34	48
44914	18	67	113
33457	66	42	138
34191	14	44	32
58644	33	1	57
41341	33	39	32
43869	58	41	159
47292	10	73	48
37081	14	29	63
57634	55	58	84
23825	60	53	133
23380	49	26	53
58074	2	10	3
56093	3	7	150
51990	32	50	147
42589	19	57	10
51174	10	34	79
53448	24	47	79
45290	17	67	58
56952	69	58	8
14832	7	13	171
30766	22	68	97
54707	39	79	145
18177	74	19	27
5848	75	6	33
27336	0	77	129
40410	64	25	133
62640	54	70	27
19525	19	20	10
50404	64	62	85
46947	76	56	52
11135	9	2	119
19739	36	49	48
28606	55	11	123
46279	51	56	96
11536	1	2	142
12330	8	51	67
50903	70	34	102
53948	33	0	52
21598	50	40	87
38092	75	76	130
7148	50	75	104
15925	67	66	83
27419	51	77	4
15527	39	66	167
59019	25	1	85
57592	3	58	161
51442	17	34	89
53026	26	47	61
28196	60	11	107
57380	8	58	8
8889	32	59	107
47978	39	23	87
2032	45	52	111
54509	22	0	176
41571	14	39	68
29311	31	36	145
40908	17	25	97
6141	69	71	41
15239	76	13	48
43182	23	16	159
58327	25	10	142
16670	5	60	83
12839	4	78	21
53851	46	0	32
46899	55	56	142
54812	37	79	34
3931	79	74	23
829	0	48	161
62704	46	70	3
27397	9	77	142
21395	18	40	48
26297	45	21	171
25736	59	21	72
7794	37	12	99
49045	2	31	67
19465	11	20	127
4584	69	24	33
9974	69	43	82
36755	39	29	57
20561	53	37	121
43190	23	16	145
37677	51	76	41
50615	14	62	119
4585	69	24	33
51984	71	50	142
13143	23	78	142
54057	44	0	123
55142	65	79	99
31827	39	5	104
52420	9	4	113
27178	6	14	10
25270	7	64	61
18751	6	19	111
43460	17	16	69
31102	60	46	41
27874	16	77	53
42250	27	57	133
38945	75	45	95
5019	29	24	63
33210	67	42	145
51936	61	50	85
34199	14	44	176
9097	17	59	87
42260	13	57	27
45602	51	18	158
23663	0	53	79
25	77	33	161
50586	5	62	161
46392	60	56	145
34045	13	44	127
6410	32	71	148
52992	70	47	42
48707	36	31	159
20361	30	49	53
39261	59	38	72
32275	72	5	41
22924	64	26	15
30254	60	68	147
50243	73	62	133
5885	45	6	73
7570	46	12	169
15189	16	13	87
17048	38	15	41
57200	18	58	28
20334	6	49	53
798	54	48	3
59408	67	8	52
662	16	33	21
4248	63	74	10
4023	60	74	57
45248	57	67	145
29400	22	36	73
58361	16	10	4
16498	48	60	79
11349	7	2	133
20803	14	37	171
50381	48	62	138
36304	67	28	122
30595	72	68	40
22654	38	26	8
30672	19	68	57
11075	0	2	131
49569	53	72	150
1075	13	48	65
37023	71	29	138
21443	13	40	102
32885	62	42	52
6368	61	71	133
61298	36	30	27
45206	1	67	165
36035	39	28	167
61406	79	30	50
295	18	33	21
1803	37	52	153
22824	51	26	27
26282	20	21	104
48733	47	31	123
1690	9	52	64
43711	0	41	32
35865	26	28	133
57514	11	58	82
61575	7	30	73
23596	34	53	98
23693	4	53	85
53590	31	47	89
2760	50	61	167
49832	8	72	128
20336	6	49	61
15776	61	66	49
13305	1	78	142
29989	56	68	30
26647	0	14	21
21913	47	69	16
38938	75	45	126
53993	60	0	58
47577	68	73	137
44520	30	41	87
56366	39	17	72
38549	4	45	14
17483	21	15	97
60110	68	54	84
52818	41	4	58
18605	1	19	99
14345	6	63	52
57421	75	58	14
11659	3	2	48
51800	58	50	98
12874	9	78	42
46540	23	56	89
7658	79	12	150
30788	76	68	117
40595	2	25	23
62496	19	27	137
5909	72	6	153
32121	32	5	72
8786	44	59	30
61612	40	30	59
22973	37	26	73
3992	48	74	15
35749	42	32	113
37792	60	76	48
41073	76	25	142
33552	15	42	40
62058	36	27	86
20254	11	49	14
4146	40	74	104
31103	60	46	32
18089	28	19	111
49554	9	72	153
44977	7	67	102
60308	26	55	27
52829	72	4	150
30411	23	68	126
41228	47	39	61
46704	1	56	42
13183	5	78	73
43557	76	16	119
9548	61	3	142
16002	45	66	113
37513	38	76	122
46045	70	56	122
40744	75	25	81
34351	11	44	123
43562	70	41	159
21260	39	40	53
41627	50	39	27
7949	2	12	133
26495	15	21	159
28813	74	36	8
62238	44	27	111
50778	65	62	123
52078	20	50	52
6580	3	71	148
49906	45	72	145
20527	4	37	119
20283	17	49	7
16208	55	66	176
4876	18	24	167
51283	29	34	138
20501	47	37	111
53151	53	47	83
16870	25	60	147
50768	49	62	40
38908	67	45	130
45278	65	67	127
33806	74	44	91
51172	18	34	49
20419	26	37	119
57852	46	10	57
20523	4	37	23
14271	65	63	61
18140	73	19	43
13582	56	63	113
47862	28	23	171
22293	67	69	32
49734	13	72	27
17471	61	15	86
43919	62	41	111
34561	43	65	27
16573	27	60	32
24657	32	22	19
646	12	33	87
11607	65	2	123
56278	28	17	102
50969	36	34	30
4728	39	24	4
22928	60	26	138
51177	10	34	27
42438	20	57	85
57268	61	58	15
57465	1	58	63
37433	77	76	42
56301	47	17	102
5595	62	6	127
27243	70	77	142
42463	45	57	145
49203	1	31	138
51991	32	50	121
22990	10	26	35
34222	63	44	37
20921	11	37	113
31928	64	5	48
54253	20	0	128
20935	49	37	79
34010	18	44	58
23874	10	53	8
8768	18	59	161
231	78	33	52
38015	29	76	83
59929	7	54	40
8422	30	12	16
15429	73	66	84
53894	39	0	4
13216	14	78	14
33243	75	42	41
49557	9	72	10
7952	23	12	107
36833	62	29	147
11362	61	2	146
30412	23	68	82
58028	27	10	126
7350	43	12	8
40928	31	25	84
35931	54	28	98
56847	30	17	113
2203	15	52	30
20923	11	37	53
38759	27	45	99
57304	2	58	167
28745	28	36	23
20401	43	37	119
37155	45	29	70
31543	55	46	83
43289	63	16	130
48882	33	31	8
60712	13	55	119
9103	31	59	126
26601	69	14	40
42745	59	16	153
5735	2	6	147
60490	53	55	57
44590	34	67	167
60783	71	55	147
13315	41	78	58
23270	50	26	82
1912	71	52	127
37928	21	76	127
38897	14	45	82
251	48	33	102
6396	32	71	137
10667	41	43	33
56860	22	17	15
49423	26	72	8
60457	46	55	98
32478	22	5	167
18708	31	19	129
6560	19	71	104
37395	22	29	52
28896	78	36	134
