label_index	winner_index	loser_index	evaluator_index
22619	9	41	148
14723	69	36	111
31094	41	50	86
55776	65	51	80
2470	62	63	37
752	60	0	129
34717	36	61	67
6378	2	31	111
33368	59	60	57
45673	78	64	5
25713	58	3	101
43762	58	65	98
45826	71	64	112
45425	70	55	22
47061	62	39	153
29095	10	40	65
39945	53	74	25
31140	74	50	37
14866	58	7	48
35253	73	38	37
26318	53	3	104
62959	33	24	17
18863	9	8	127
57103	11	79	113
43869	74	65	23
41010	63	14	112
23400	71	21	101
56472	66	79	134
27400	12	2	2
1169	76	30	50
62326	40	28	129
60298	21	78	98
57469	72	17	81
11829	7	52	50
42931	71	77	109
24073	65	27	17
23847	42	21	157
52675	62	72	66
43329	10	77	48
57916	30	17	42
56540	4	79	10
41205	2	47	48
11657	19	52	16
49745	25	33	54
17700	28	35	146
59555	10	9	86
43533	51	77	125
52956	15	72	33
23097	63	41	130
6304	58	31	42
11742	48	52	146
5557	2	68	151
34769	56	61	98
56890	53	79	27
36432	73	12	11
53129	57	72	47
2594	66	63	19
52559	30	37	153
20742	24	73	86
7502	32	49	48
47905	30	39	73
27225	48	2	83
14106	41	36	127
6314	61	31	97
26103	17	3	140
25561	63	66	140
17098	71	35	95
14881	61	7	102
35504	9	38	130
8047	23	49	104
29956	56	53	64
39128	15	76	82
30037	10	53	32
28427	58	40	60
17330	77	35	9
1843	74	69	87
54938	78	75	18
13771	79	54	37
11934	60	52	83
43109	52	77	9
10441	57	32	50
60011	49	78	129
57713	67	17	137
5415	23	29	114
44754	34	58	155
64551	53	62	143
60268	70	78	1
52421	10	37	127
62097	69	1	142
17051	74	35	11
6764	34	31	95
16056	9	45	23
52973	5	72	137
52628	43	37	38
21113	22	48	140
46063	80	64	33
24967	38	27	140
16898	58	35	18
24774	46	27	23
506	56	0	137
52058	39	37	115
5737	9	68	54
16441	57	45	40
9716	64	18	140
13654	0	54	67
49467	14	33	16
27632	3	2	51
32477	45	22	67
54217	55	46	123
16534	79	45	72
64616	21	62	148
55856	33	51	16
48504	64	59	140
59240	74	9	111
53374	16	43	51
34676	18	61	83
36057	11	38	86
36168	63	38	101
47204	66	39	37
48216	8	59	66
34333	24	6	60
5242	6	29	140
37608	8	20	25
55168	32	75	17
16203	34	45	51
64620	21	62	42
18217	50	5	109
11300	30	80	83
32884	37	15	72
45727	14	64	13
50189	16	57	127
35800	7	38	102
36149	69	38	33
52974	5	72	134
629	47	0	65
60347	79	78	33
448	59	0	109
52389	67	37	30
31134	74	50	139
62715	6	28	51
5765	52	68	57
49926	64	33	157
61779	7	1	1
31751	20	50	50
52993	48	72	11
41086	16	47	157
5060	10	29	50
7813	64	49	87
48497	47	59	42
7123	28	31	102
29671	2	53	19
29498	13	40	13
54413	15	46	113
50328	39	57	114
28494	2	40	72
40029	21	74	83
50818	70	57	65
19282	45	8	51
53905	29	43	50
2721	71	63	113
35205	66	38	71
41668	10	47	106
63617	23	24	140
41421	18	47	127
14985	74	7	37
59685	11	9	2
1045	33	30	151
7567	9	49	148
55579	79	75	150
16211	77	45	64
4485	66	29	89
10465	31	32	101
25994	32	3	102
17288	25	35	150
16972	2	35	143
58274	71	23	11
29566	65	53	127
53305	69	72	17
6957	21	31	72
34586	55	61	46
39637	14	74	98
58415	9	23	68
15144	52	7	150
10116	55	32	101
29382	30	40	62
4660	71	29	60
34450	63	6	26
62586	7	28	11
11588	71	52	102
51803	29	19	142
59615	31	9	60
48824	2	25	49
10785	73	80	111
27910	18	10	76
12209	14	26	107
21207	34	48	146
62045	30	1	123
43198	34	77	80
28538	39	40	42
22165	11	70	50
60598	33	42	123
10349	56	32	157
8650	62	34	25
5499	58	68	66
24198	33	27	134
14501	10	36	109
55886	41	51	67
28279	13	10	2
55513	64	75	143
36320	54	12	72
43301	67	77	155
23183	78	21	19
46436	66	16	60
35166	61	38	87
40849	46	14	14
51117	65	19	134
26969	33	2	67
10497	60	32	153
41447	17	47	112
19432	75	67	81
3857	25	44	42
14804	62	7	17
21761	32	70	48
62193	75	28	83
32747	71	15	104
15195	48	7	50
45474	42	55	50
23675	80	21	65
13411	22	54	42
54728	79	46	64
45972	5	64	132
15516	69	7	11
64364	71	62	40
40572	17	14	143
39013	8	76	11
43102	15	77	2
13549	48	54	25
39075	35	76	16
31449	80	50	25
33787	41	6	91
34390	28	6	123
35015	63	61	130
1137	71	30	33
9882	38	18	50
4967	80	29	146
15142	52	7	113
44510	2	58	64
37139	31	12	54
7739	68	49	97
29510	1	40	123
40495	76	14	16
14785	3	36	63
8579	28	4	61
45479	42	55	42
8644	62	34	153
63971	0	71	111
10318	48	32	83
14724	69	36	123
17118	49	35	67
2675	55	63	134
15400	79	7	37
57564	15	17	114
48467	7	59	80
61553	36	1	102
9673	0	18	102
10934	9	80	50
12957	51	26	150
39251	50	76	113
19523	4	67	146
28261	43	10	148
40322	66	14	66
29039	68	40	60
47373	32	39	157
23955	28	21	13
28384	26	40	153
63164	17	24	19
21710	74	70	51
18922	5	8	102
55255	15	75	114
20949	61	48	102
52929	9	72	66
38844	65	76	152
24350	49	27	84
56169	57	51	51
48292	19	59	9
19902	42	67	51
50948	60	57	47
920	23	0	80
54423	52	46	11
63693	14	71	67
57334	66	17	66
10901	22	80	106
50093	38	33	98
62168	65	28	50
48460	0	59	155
31522	10	50	148
9582	34	18	23
23983	69	21	66
21719	8	70	106
8742	2	34	127
24020	13	21	74
8394	80	4	16
24434	9	27	11
17749	43	35	146
59802	62	78	115
12298	4	26	52
8982	53	34	125
8118	58	4	82
33357	36	60	82
49380	62	33	81
17483	47	35	83
50849	64	57	57
10040	14	32	137
26118	15	3	82
29754	71	53	82
3521	2	44	105
27920	9	10	157
18295	47	5	60
55748	1	75	13
7896	60	49	123
45695	58	64	97
20246	55	73	140
47166	58	39	123
34179	7	6	40
39789	76	74	150
29187	21	40	17
60444	28	78	74
5582	41	68	74
18185	77	5	54
15187	25	7	65
31057	2	50	155
20012	38	67	81
32628	61	15	80
28947	56	40	102
62983	39	24	80
25195	72	66	75
2228	21	69	103
40254	16	14	16
49464	61	33	21
21338	12	48	74
16210	34	45	74
8861	35	34	112
49151	10	25	108
19931	6	67	140
20189	33	73	148
9505	15	18	48
55731	13	75	64
45611	13	55	32
20457	59	73	23
48749	75	25	87
2942	34	63	11
37066	64	12	80
55881	41	51	87
15068	22	7	19
1717	54	69	37
51811	30	19	65
29416	28	40	106
49376	62	33	102
14855	54	7	130
33097	20	15	19
58861	6	23	113
3597	74	44	64
20511	77	73	115
20581	67	73	51
53695	56	43	84
32333	70	22	112
38961	41	76	134
46720	34	16	21
15057	76	7	151
32160	52	22	117
51178	54	19	48
2045	25	69	95
39567	62	74	143
24225	73	27	67
34686	9	61	98
27878	76	10	9
49778	34	33	60
8575	28	4	153
21669	39	70	19
30638	34	11	51
37798	67	20	75
18756	71	8	49
124	66	0	65
33593	13	60	111
42132	8	13	109
53960	63	43	50
58023	65	23	143
20385	9	73	148
45868	32	64	81
61986	51	1	87
58581	37	23	23
23887	24	21	153
48149	73	59	102
50426	71	57	123
6952	57	31	95
60096	15	78	66
7461	8	49	18
268	71	0	66
15357	21	7	2
33362	5	60	9
50573	15	57	103
40796	10	14	155
5134	21	29	98
31637	79	50	33
42051	66	13	72
809	29	0	106
21066	71	48	33
62919	61	24	25
6130	20	68	33
37167	42	12	106
43681	1	77	74
27193	5	2	87
11897	46	52	83
29145	64	40	64
38157	66	56	109
59530	67	9	25
47192	14	39	123
20702	42	73	95
62703	60	28	150
57312	58	17	19
46645	15	16	25
6012	42	68	81
24226	73	27	82
9454	76	18	87
49762	48	33	33
29649	66	53	111
63675	54	71	151
30345	54	11	16
3931	37	44	13
18840	18	8	64
34647	76	61	42
12967	11	26	9
56808	34	79	48
43121	36	77	97
3674	32	44	54
23495	18	21	125
31882	54	22	142
43671	13	77	102
60646	74	42	140
33889	32	6	37
30178	11	53	25
21154	15	48	16
13525	59	54	33
51402	22	19	25
10104	4	32	150
38012	63	20	130
38905	61	76	81
1721	58	69	130
14565	46	36	151
46715	34	16	66
22621	9	41	66
28470	66	40	25
30313	16	11	87
36238	65	12	35
39014	8	76	153
37957	11	20	98
20210	39	73	80
32018	8	22	81
12149	75	26	102
39355	21	76	13
54156	73	46	78
33235	55	60	111
11000	59	80	101
58324	32	23	18
51488	59	19	109
56948	10	79	2
19104	70	8	102
28023	56	10	51
35664	77	38	25
30636	34	11	101
52921	18	72	123
48780	61	25	9
20798	28	73	31
6347	66	31	66
28340	16	40	140
19807	0	67	74
58458	52	23	34
40573	17	14	13
57291	26	17	66
24242	39	27	12
8613	63	4	50
34952	51	61	67
16645	30	45	87
56470	66	79	50
45402	0	55	111
41043	23	14	140
61746	67	1	83
22724	48	41	66
1003	61	30	51
1289	59	30	95
48121	66	59	106
44621	76	58	131
53251	29	72	46
44464	54	58	62
53166	42	72	104
6710	59	31	67
35595	59	38	71
38054	62	56	70
22564	76	41	9
43750	26	65	19
63157	17	24	11
25542	38	66	83
34568	4	61	65
35739	53	38	127
20861	1	73	13
41047	62	47	97
8414	68	4	67
36964	67	12	109
12501	15	26	109
42853	4	77	64
558	68	0	137
1998	36	69	130
49654	18	33	97
11109	0	80	123
64666	60	62	137
5911	0	68	50
14876	58	7	136
61331	74	1	123
60499	13	78	86
33841	27	6	153
35499	18	38	37
60353	60	78	150
40720	50	14	129
35586	5	38	123
38338	19	56	111
53918	30	43	95
43521	24	77	134
44395	23	65	51
51460	52	19	35
18751	71	8	30
38439	25	56	86
35244	73	38	48
53670	48	43	25
17859	54	5	48
1103	55	30	34
29142	47	40	17
48973	18	25	9
32885	37	15	72
25121	33	66	83
54256	27	46	50
64517	77	62	81
13174	58	54	134
48116	14	59	2
51209	61	19	151
16609	51	45	82
56557	55	79	80
48111	14	59	83
21135	18	48	70
4069	64	44	86
24216	2	27	40
56591	27	79	130
45651	16	64	122
17893	14	5	11
31102	41	50	126
37843	64	20	98
51949	16	37	67
19448	58	67	114
11716	59	52	23
20161	61	73	95
46116	10	64	150
24010	63	21	22
35637	34	38	87
53692	77	43	111
32043	72	22	134
54213	55	46	16
33586	63	60	57
2265	42	69	97
20512	56	73	87
18351	79	5	150
43093	15	77	23
