label_index	winner_index	loser_index	evaluator_index
34485	31	77	24
44067	48	68	159
43385	78	4	116
55206	51	30	124
51571	65	74	97
47466	76	5	37
24335	57	51	123
50460	36	17	162
53230	27	29	122
53806	67	29	21
34867	8	77	81
12740	74	28	99
42154	30	1	48
28837	28	34	52
42167	13	1	52
20596	47	32	15
31742	60	26	49
60127	1	9	223
26740	9	35	39
36906	63	52	21
41216	74	46	256
3524	47	60	182
5507	39	67	107
4518	22	59	62
7292	61	11	99
38860	61	21	231
12257	3	12	182
22244	67	0	69
56973	19	24	159
38360	77	21	182
51876	40	74	198
10487	53	54	75
51930	16	74	216
28030	22	50	178
7972	31	47	248
56517	18	24	29
26958	78	35	127
22353	41	31	37
54435	29	16	15
13125	38	28	186
13011	22	28	63
23526	19	36	10
61512	31	56	248
7213	32	11	107
44517	54	68	27
44461	20	68	10
43869	56	68	166
9812	7	20	27
23910	2	36	182
11002	33	54	10
58893	7	27	166
29715	53	71	184
41229	65	46	24
37467	77	8	24
30356	73	15	21
6311	7	67	21
38568	53	21	63
58211	49	45	116
41411	28	46	248
38649	28	21	107
13909	28	10	184
29022	38	34	98
42852	28	7	219
32109	63	58	50
53441	21	29	158
62566	45	18	107
18178	44	6	62
55462	73	49	150
61309	65	56	216
51774	59	74	195
22138	11	0	62
14416	5	3	198
4480	31	59	81
10159	52	54	39
40194	12	13	162
37991	20	8	107
7130	69	11	169
47175	73	5	162
24657	30	51	89
33312	60	73	93
21246	47	2	115
24587	59	51	198
3004	11	66	99
29387	72	71	231
42646	46	7	21
19602	78	43	195
20541	14	32	115
21331	64	2	15
48691	51	78	48
58160	0	45	98
11183	46	44	192
1237	6	61	144
46377	17	70	158
42924	32	7	231
39907	73	13	107
8491	71	47	126
32600	39	73	223
2369	73	66	107
39038	34	21	69
27709	56	50	162
29939	36	71	81
56707	65	24	79
32892	63	73	129
33258	26	73	162
60251	12	9	152
24765	7	51	169
21793	14	0	184
52246	9	22	116
27050	27	35	81
52643	58	22	99
10160	52	54	15
55619	75	49	29
37658	27	8	24
55660	78	49	219
37904	10	8	115
27877	48	50	146
16017	56	53	209
43679	68	4	10
33175	58	73	195
5603	72	67	63
49401	33	72	98
13184	79	28	184
26695	72	35	79
61487	53	56	126
38126	33	8	169
25106	24	51	247
50670	33	17	140
29285	51	34	248
12836	48	28	69
5838	35	67	63
3862	0	60	69
61613	12	56	169
36435	32	65	203
13947	30	10	209
25603	13	41	209
92	52	57	223
40935	38	79	21
55519	46	49	123
52111	34	74	21
25074	60	51	237
45698	43	69	166
41273	14	46	29
46333	73	70	94
18478	65	37	168
56381	8	49	97
55926	22	49	37
12632	5	28	122
18260	24	6	247
38515	63	21	37
48188	64	78	107
21232	23	2	69
928	60	57	52
39201	50	19	21
47271	62	5	198
42240	36	1	15
2301	25	66	24
30105	2	71	126
24162	72	51	115
4789	37	59	223
27255	21	35	6
30310	9	15	247
45136	13	33	45
51925	36	74	122
50833	74	75	158
51853	12	74	140
25265	50	41	112
19752	19	43	209
40597	74	79	198
34277	65	77	180
31535	16	26	6
28485	50	34	78
16290	64	53	21
31208	48	26	79
16170	14	53	24
5219	3	64	29
3284	41	60	236
25033	29	51	81
55776	27	49	45
5584	52	67	79
2696	28	66	146
4448	27	59	159
63009	16	18	10
43577	21	4	184
9801	21	20	21
56523	39	24	64
1585	56	23	209
28903	12	34	6
62603	52	18	45
3822	16	60	39
42297	58	1	68
51963	58	74	223
13881	59	10	186
29859	12	71	79
23326	14	36	45
58369	60	45	6
19700	27	43	179
43208	15	4	130
46335	73	70	17
28610	35	34	27
36807	17	52	130
51074	28	75	168
38849	58	21	37
25425	23	41	140
6334	36	67	175
48648	34	78	256
37800	13	8	94
33278	42	73	27
28959	7	34	107
14808	7	3	166
24021	37	36	103
7188	40	11	48
50428	32	17	140
42461	37	1	99
35518	50	76	140
62352	76	14	99
9882	58	20	62
2216	5	66	216
48027	23	78	219
52312	46	22	39
49914	8	25	249
55784	27	49	160
15367	1	40	185
41040	42	79	162
31250	23	26	29
24480	63	51	129
61865	29	56	249
48117	27	78	256
8963	28	62	140
39475	22	19	215
25495	53	41	62
62561	39	18	29
56595	72	24	173
45783	63	69	180
62071	73	14	24
26640	5	35	182
6795	5	11	158
43664	61	4	216
51936	16	74	10
60816	19	48	246
13828	70	10	6
41317	47	46	223
40479	45	79	162
24202	9	51	83
56682	74	24	45
5852	14	67	158
35481	72	76	63
41128	56	46	37
22007	3	0	247
59220	72	42	162
26758	50	35	166
25662	32	41	98
50692	18	75	182
19072	20	37	150
45056	59	33	209
15281	14	40	162
51582	77	74	136
58764	70	27	10
622	21	57	39
49312	66	72	89
18662	55	37	29
12391	61	12	81
16849	57	55	126
44858	43	33	115
2519	23	66	79
22964	54	31	52
52969	4	29	20
31402	69	26	166
5015	75	64	55
20286	24	43	223
18980	38	37	6
19116	66	37	27
53987	46	16	140
25512	31	41	166
11872	74	12	126
37310	5	8	198
39053	37	21	162
4707	11	59	247
21743	65	0	99
48812	50	72	21
47210	46	5	27
54567	72	30	162
20877	20	32	99
10880	66	54	219
53919	9	16	94
46411	14	70	126
6271	21	67	63
14293	8	10	45
8937	59	62	15
52849	5	29	108
45600	25	69	180
8199	76	47	126
17715	52	6	247
958	37	57	169
14249	2	10	6
62981	7	18	52
12764	65	28	182
47915	46	78	37
29118	44	34	256
41535	38	46	249
9575	23	20	39
19171	29	37	216
12053	55	12	136
1489	2	61	248
41827	50	1	17
36788	65	52	115
35523	50	76	81
14882	68	3	231
59129	33	27	10
43759	2	4	180
40817	69	79	17
35635	62	76	140
34999	9	63	10
28703	47	34	246
8411	26	47	116
37	45	57	219
3555	6	60	158
7144	30	11	184
38770	7	21	69
5862	75	67	56
25519	31	41	74
35867	10	76	209
24828	38	51	236
4762	71	59	62
56238	20	49	69
24675	13	51	126
62003	72	14	182
60529	15	48	10
37095	38	52	98
32708	9	73	166
54813	6	30	248
54096	63	16	189
21224	78	2	94
14751	69	3	180
42103	64	1	6
5452	34	64	157
8536	24	47	33
28606	43	34	1
5576	15	67	10
30300	9	15	79
32535	8	58	40
17085	59	55	44
53766	24	29	249
44006	46	68	69
24405	62	51	136
53926	50	16	249
8891	27	62	49
45434	29	33	48
41944	75	1	24
36742	9	52	180
50443	7	17	107
112	72	57	63
28528	73	34	27
20302	37	43	6
7741	57	47	51
53028	46	29	56
6628	29	67	97
7146	30	11	122
28014	69	50	79
31700	54	26	224
26843	46	35	140
1361	32	61	178
1990	10	23	52
3253	52	60	249
60919	21	48	198
13620	43	10	63
13637	35	10	152
54477	24	16	24
24434	23	51	29
39813	15	13	248
17334	38	55	199
31258	1	26	227
56393	8	49	169
45145	12	33	209
23909	2	36	195
61549	28	56	216
4247	9	59	141
38262	25	21	212
58718	47	27	246
55830	31	49	24
31034	41	26	182
13730	1	10	184
8602	39	62	248
47608	54	5	29
41435	30	46	63
31289	6	26	27
17196	3	55	96
61914	37	56	158
10544	59	54	45
62757	14	18	10
23574	28	36	256
29759	19	71	43
520	64	57	164
44327	32	68	94
47353	70	5	56
21760	46	0	126
7137	22	11	158
47456	7	5	69
1592	56	23	103
7710	46	47	37
43160	18	4	185
16532	37	53	48
3576	53	60	56
37811	12	8	123
15897	71	40	209
52710	26	22	99
24696	12	51	204
58318	42	45	79
23992	34	36	37
53770	24	29	180
54934	3	30	158
34632	32	77	98
27964	70	50	184
29232	71	34	169
3148	37	66	29
33995	42	38	231
29717	53	71	198
49922	60	25	99
8442	54	47	107
49499	4	25	184
48254	13	78	39
21118	74	2	37
45446	8	33	246
36863	62	52	115
7981	19	47	223
62653	50	18	154
21537	66	2	223
24097	5	51	107
53293	59	29	140
14409	45	3	219
2480	75	66	246
61241	72	56	10
13715	23	10	162
35016	4	63	207
8082	30	47	221
45626	4	69	45
2251	15	66	123
39876	50	13	94
51995	79	74	63
29753	19	71	223
62925	30	18	249
38832	0	21	56
33285	29	73	216
6105	19	67	10
19915	21	43	240
37297	39	8	169
26571	24	39	155
49228	0	72	223
25646	40	41	248
49234	58	72	37
60288	76	9	213
40671	14	79	150
60872	30	48	56
28867	22	34	169
24670	13	51	15
29212	8	34	122
31397	28	26	10
48265	13	78	182
30741	38	15	95
36650	18	52	63
17169	13	55	246
36171	46	65	146
52512	28	22	169
48727	45	72	243
37238	60	52	68
49296	44	72	107
674	36	57	21
45951	36	69	62
23123	52	36	9
28583	17	34	247
3325	4	60	48
27629	37	35	166
10172	52	54	169
38073	29	8	126
40548	25	79	94
19554	14	43	123
38035	26	8	248
34259	73	77	123
50507	58	17	10
32665	52	73	116
56870	47	24	57
41269	14	46	107
50284	53	17	0
45468	60	33	6
15977	67	40	111
18122	38	6	97
13796	27	10	150
31408	69	26	180
59925	51	42	217
48545	26	78	84
52234	25	22	6
40986	20	79	52
8042	69	47	209
40245	76	13	89
53128	62	29	160
27989	59	50	63
8623	56	62	37
60105	62	9	162
46240	41	70	209
9883	58	20	99
15347	23	40	79
27524	2	35	180
21512	20	2	94
43034	11	7	56
38013	11	8	126
38364	46	21	39
45302	61	33	140
24878	61	51	81
59012	44	27	198
29808	69	71	158
54577	41	30	223
54272	32	16	135
60329	61	9	216
2932	61	66	39
3341	74	60	106
33619	62	38	198
30364	65	15	232
38074	29	8	126
17807	46	6	139
60792	53	48	198
41130	56	46	216
8825	78	62	52
48381	10	78	115
37466	77	8	24
41038	54	79	127
14394	18	3	159
11818	25	12	15
10909	2	54	21
43841	39	68	140
1804	63	23	81
62399	61	14	122
31484	21	26	6
1345	40	61	184
22849	58	31	246
2813	32	66	231
40136	59	13	195
49504	74	25	39
40021	23	13	39
62091	77	14	185
42667	43	7	162
6425	58	67	123
2956	49	66	65
28653	48	34	180
10312	46	54	162
7900	63	47	182
23213	4	36	123
42743	1	7	24
4580	32	59	29
17295	16	55	37
22060	16	0	183
26231	6	39	37
6296	32	67	29
18371	52	37	57
27262	21	35	107
6937	17	11	126
9757	30	20	98
22329	52	31	116
10302	65	54	90
23513	31	36	247
53185	47	29	24
18798	28	37	232
57187	10	24	52
60673	43	48	219
28767	70	34	249
1566	39	23	21
60547	72	48	10
28374	5	34	97
8916	31	62	39
3205	45	60	126
31656	44	26	246
58403	33	45	216
36058	5	65	27
48729	5	72	184
16818	46	55	15
6960	14	11	223
6779	39	11	48
44358	76	68	116
61662	7	56	249
44459	20	68	246
37118	61	52	97
62008	41	14	69
22390	50	31	126
33966	66	38	48
48535	66	78	10
49624	55	25	39
3470	62	60	56
48677	33	78	39
2430	57	66	223
8058	22	47	37
44310	40	68	210
59700	16	42	24
17916	63	6	27
31751	24	26	219
56423	60	49	226
28627	14	34	212
45107	69	33	30
32410	68	58	184
39220	74	19	107
20958	71	32	31
28502	4	34	219
29081	79	34	50
40189	30	13	34
58435	18	27	123
39048	24	21	45
10926	42	54	74
6697	34	67	246
4717	26	59	97
36644	18	52	99
33309	60	73	27
60031	74	9	21
7764	35	47	130
11677	33	44	29
22382	9	31	235
10781	0	54	131
11805	41	12	198
33813	3	38	124
59324	65	42	183
15638	7	40	37
45816	70	69	130
63063	49	18	10
55710	47	49	209
11203	43	44	223
31151	17	26	169
61254	41	56	77
22667	64	31	39
4195	52	59	216
29876	3	71	16
46158	39	70	62
36115	25	65	10
9387	72	20	120
25585	22	41	126
2434	57	66	107
40871	40	79	74
10256	4	54	10
42759	63	7	56
56828	62	24	212
47031	37	70	10
50389	13	17	49
24818	10	51	164
20686	64	32	62
49738	3	25	166
23411	1	36	45
48282	3	78	198
18612	78	37	166
10861	44	54	118
63147	8	18	74
62306	13	14	57
50647	60	17	107
7911	6	47	198
6444	61	67	81
49195	36	72	107
1	18	57	37
18195	11	6	132
9250	8	62	29
8471	29	47	123
54572	72	30	81
28148	38	50	81
34932	18	63	99
47918	46	78	48
46961	42	70	246
43533	30	4	39
17802	77	6	10
37946	61	8	249
9689	59	20	62
51402	34	75	66
11963	14	12	214
14899	79	3	249
4275	73	59	79
25444	1	41	221
8131	40	47	184
6418	58	67	45
13741	47	10	37
4780	34	59	115
22548	23	31	166
57241	61	24	32
13498	50	10	81
58417	51	45	105
60396	26	9	223
44850	57	33	166
4428	6	59	140
5878	75	67	82
25702	16	41	184
57628	74	45	94
8435	54	47	39
7232	76	11	63
49366	71	72	132
25417	78	41	207
51735	53	74	126
902	8	57	63
26630	5	35	37
35364	54	63	21
59930	18	9	48
9936	44	20	98
3395	46	60	169
4731	2	59	119
50930	62	75	39
13450	41	10	249
61642	32	56	223
19252	18	43	126
54822	27	30	69
40784	31	79	245
18676	63	37	70
50124	77	17	162
23801	61	36	126
55994	3	49	78
31460	3	26	69
48548	26	78	29
52310	77	22	220
35882	0	76	62
32627	5	73	133
49974	39	17	184
58667	48	27	56
47114	72	5	120
35862	16	76	97
47945	57	78	99
33209	79	73	184
41779	72	1	37
11384	28	44	216
46725	32	70	126
42335	20	1	62
31313	53	26	6
12095	27	12	69
29357	56	71	32
11994	62	12	99
45166	3	33	138
62935	13	18	72
12429	20	12	15
15748	61	40	97
47964	35	78	62
43727	11	4	52
1824	27	23	213
51289	79	75	48
18347	56	37	182
575	13	57	45
50818	4	75	99
8723	73	62	37
41141	15	46	178
10836	79	54	122
3726	12	60	62
50796	9	75	94
52088	8	74	142
27206	13	35	181
13036	13	28	74
18793	28	37	39
33602	48	38	166
62465	66	14	122
34907	37	77	216
32677	72	73	24
6881	4	11	98
54585	25	30	122
15265	43	40	209
36461	76	65	223
18479	65	37	69
4486	19	59	11
32089	1	58	107
13375	45	10	198
23	39	57	158
46799	0	70	15
59858	29	42	124
1380	76	61	233
7768	35	47	98
34328	35	77	91
24563	31	51	180
39017	71	21	6
19281	45	43	72
25741	58	41	6
5892	48	67	63
5095	6	64	10
40715	23	79	223
55441	74	49	216
55009	10	30	184
44712	41	33	39
61331	46	56	10
25443	1	41	32
8318	68	47	81
48328	7	78	182
15431	53	40	37
8205	76	47	144
25985	56	39	107
7312	68	11	107
29998	58	71	182
63193	51	18	232
9037	21	62	24
13241	2	28	69
49861	44	25	126
44362	76	68	141
29137	66	34	20
8207	36	47	216
50196	62	17	37
39863	9	13	249
4010	2	60	144
46447	48	70	123
48057	47	78	98
46902	11	70	173
46884	44	70	126
42076	19	1	50
56160	0	49	81
28013	69	50	79
43023	44	7	129
60386	11	9	26
37416	4	8	209
7341	44	11	27
30516	27	15	27
34066	67	38	216
55673	23	49	15
49510	74	25	24
50493	0	17	162
269	17	57	187
27352	38	35	198
16413	58	53	10
1787	47	23	144
41492	32	46	171
56014	40	49	126
4702	11	59	97
3952	44	60	126
37472	77	8	29
35070	14	63	128
51226	10	75	115
26203	1	39	238
13419	52	10	209
35724	70	76	115
40125	19	13	123
20373	56	32	99
56946	70	24	48
25301	73	41	52
30391	17	15	126
42690	14	7	169
31360	59	26	158
81	15	57	249
6388	38	67	6
57691	17	45	158
57869	27	45	126
31715	29	26	166
50739	15	75	158
42410	42	1	94
26893	14	35	249
41297	78	46	180
30198	51	71	184
32398	61	58	26
43172	39	4	178
61471	6	56	247
16126	77	53	122
61257	41	56	247
63183	33	18	140
61416	23	56	197
41463	3	46	98
21151	77	2	182
33097	32	73	21
32661	52	73	158
7221	7	11	246
17504	54	55	231
57518	56	45	115
3154	33	66	120
47702	45	78	140
4423	63	59	87
27195	30	35	246
49137	3	72	27
6168	69	67	52
38054	54	8	62
28370	45	34	141
56425	34	49	27
50068	9	17	52
57897	70	45	182
15079	15	40	99
59639	40	42	192
32387	0	58	126
18272	33	6	140
19609	23	43	62
19619	23	43	239
2466	14	66	52
40569	50	79	56
20755	12	32	195
13724	23	10	46
24989	2	51	79
4753	29	59	10
36080	15	65	249
43142	33	7	24
1581	5	23	10
608	3	57	184
17089	59	55	85
3292	25	60	247
38888	79	21	231
8519	34	47	81
52376	62	22	198
19965	76	43	10
60951	36	48	107
38516	63	21	216
36071	56	65	97
42976	0	7	249
23311	43	36	63
7483	39	47	138
10387	75	54	14
52533	30	22	29
48804	9	72	180
38641	64	21	123
53735	71	29	248
57121	32	24	184
50572	66	17	99
55631	48	49	20
13402	56	10	122
50883	46	75	248
25044	8	51	24
49167	32	72	180
51319	11	75	97
38261	25	21	122
8157	21	47	74
13898	64	10	10
46146	67	69	10
30218	39	15	27
9758	30	20	247
33561	17	38	116
1336	3	61	6
47637	60	5	107
29626	23	71	249
50912	14	75	216
57961	28	45	123
7009	23	11	184
32397	61	58	249
30769	68	15	219
17844	14	6	166
45537	5	69	69
8474	8	47	209
52545	12	22	156
172	50	57	63
4721	2	59	62
35751	59	76	10
52340	43	22	10
31308	27	26	169
47494	16	5	196
2237	56	66	43
47987	75	78	39
22855	61	31	69
59827	26	42	140
49716	22	25	56
36977	69	52	37
46730	32	70	80
36241	78	65	27
22183	42	0	27
