label_index	winner_index	loser_index	evaluator_index
32342	30	55	166
39251	5	40	42
61836	68	10	156
3161	52	61	147
10770	17	9	108
5151	11	12	87
46436	36	0	130
38581	36	29	48
61973	57	10	134
26570	56	50	5
7819	10	32	108
62930	58	18	39
56910	2	39	96
18842	29	44	48
61231	60	79	118
26345	78	50	90
53487	71	3	104
43595	64	24	52
7156	71	54	69
61606	8	31	149
30099	63	20	6
17204	61	60	108
30904	39	71	1
21620	38	37	5
15493	23	65	163
24600	44	66	87
35463	74	7	104
43147	66	24	101
7167	27	54	42
41731	22	28	40
31548	63	55	108
46349	21	0	100
6192	25	15	108
33677	21	64	19
26033	2	48	158
55245	11	58	6
19084	45	44	69
47887	21	45	140
20347	54	56	88
27015	33	50	109
12091	32	16	40
10449	56	9	163
23332	4	72	114
57361	3	4	69
40965	66	2	87
26159	53	48	89
16939	24	60	105
13175	35	27	139
1491	0	41	85
4234	69	61	5
8861	41	8	161
35130	72	7	76
59879	39	73	11
4945	26	12	163
59851	5	73	104
58050	0	19	137
21099	23	1	42
30244	13	20	40
56236	47	6	103
26305	52	50	40
37417	49	13	90
11869	3	16	108
49045	30	34	122
21884	51	37	104
47800	19	17	118
60844	43	79	142
10754	79	9	161
9342	58	8	110
23569	55	72	59
34533	73	64	114
18844	29	44	48
29205	38	76	166
17908	68	46	151
31898	47	55	85
57162	36	4	103
8989	6	8	85
55419	10	53	6
23099	50	72	136
6374	40	15	37
62393	10	18	163
37634	77	13	114
36911	29	47	120
37528	24	13	48
1398	21	41	42
3700	71	61	36
45932	59	25	42
39727	4	40	133
14194	12	36	48
44454	17	11	69
43488	77	24	130
16626	7	60	107
5639	23	78	48
30439	31	20	109
40075	10	63	153
4612	39	12	69
32170	24	55	104
29283	25	76	69
16697	43	60	90
8983	51	8	139
45795	71	25	69
33373	77	59	142
48669	10	34	134
35210	68	7	91
27243	7	38	101
62058	24	10	71
601	50	75	152
23082	71	72	28
3767	50	61	87
27242	7	38	130
6057	78	15	141
43982	20	11	121
41507	12	28	103
11986	24	16	78
27433	73	38	42
22992	68	72	126
36224	1	30	126
37948	13	52	139
21889	51	37	89
26793	26	50	17
32408	32	55	122
8530	16	32	69
17661	14	43	131
49201	5	23	156
14487	51	36	85
8487	45	32	152
35271	47	7	71
37859	38	52	151
57881	39	19	37
20370	29	56	109
47468	31	17	136
18827	26	44	105
22743	5	72	78
56472	45	6	139
38217	46	52	75
25201	34	66	13
24440	78	66	94
372	13	75	149
49360	7	23	71
29005	16	70	149
8764	36	8	153
19866	75	33	51
60045	7	73	161
20319	23	56	5
18162	58	46	42
50140	31	21	41
32265	4	55	36
28772	74	70	36
30161	72	20	17
30889	21	71	108
43984	43	11	130
33592	12	64	121
41174	23	2	105
57302	43	4	52
10945	12	77	27
56556	5	39	107
56140	48	6	71
45559	63	25	153
24980	46	66	52
11094	44	77	147
5404	13	78	37
41303	58	2	161
2411	43	14	156
27508	53	38	2
49545	59	23	78
50497	21	67	28
26278	75	48	131
18584	56	44	78
7316	26	54	104
54164	68	42	134
504	6	75	151
31026	7	71	23
45159	26	57	11
36050	51	30	28
39543	50	40	101
32092	59	55	10
21370	16	1	124
3572	56	61	122
59294	6	62	132
33922	66	64	93
53065	69	5	84
51284	70	35	28
18958	2	44	134
26549	22	50	40
5759	9	78	87
2673	54	14	6
29244	70	76	13
6368	49	15	36
8481	45	32	166
26272	19	48	87
21105	23	1	161
61382	20	31	42
49893	28	21	105
25087	30	66	101
27625	21	51	56
28232	12	70	135
970	58	75	103
643	31	75	142
49353	13	23	132
7733	78	32	27
46982	69	0	140
53159	55	5	42
47711	33	17	118
28225	18	70	90
5361	70	78	133
35828	10	30	121
61067	73	79	161
36575	61	30	115
48111	51	45	17
54726	78	58	142
23139	31	72	36
46624	47	0	48
6557	79	15	85
21205	4	1	149
29529	31	76	139
7137	47	54	37
58713	17	19	126
12712	3	27	139
21688	44	37	81
32403	32	55	163
34932	55	64	164
59559	4	62	124
44911	13	57	28
39056	77	29	130
35804	62	30	163
54195	43	42	147
34128	71	64	78
3031	34	14	27
18328	12	44	20
26455	36	50	87
62522	13	18	104
1270	65	75	16
29218	36	76	36
45638	0	25	94
51583	23	35	143
45172	29	57	115
20077	66	56	118
8335	58	32	104
25479	70	48	90
58170	56	19	51
15365	47	65	36
53041	79	5	131
8144	31	32	142
579	3	75	118
31533	39	55	104
39773	17	40	40
28467	7	70	120
5600	31	78	49
31115	49	71	130
13381	18	74	134
29389	43	76	104
13038	4	27	152
36856	31	47	5
35419	29	7	152
37544	46	13	133
16266	69	49	6
25643	51	48	47
25037	58	66	95
13857	59	74	132
19499	49	33	166
20964	51	1	122
10755	79	9	152
4759	68	12	17
10400	25	9	147
57540	46	4	88
5170	16	12	84
48930	26	34	111
33214	24	59	71
9179	59	8	143
35973	22	30	147
57251	22	4	41
19701	79	33	109
20705	28	1	90
9219	29	8	15
46270	64	25	158
23249	29	72	133
10427	13	9	153
41177	23	2	100
28359	48	70	101
55408	62	53	81
23178	42	72	153
45696	7	25	91
28880	69	70	71
35707	18	30	25
24274	33	22	156
49501	31	23	133
46334	5	0	108
5624	42	78	105
11244	47	77	98
57209	66	4	71
58848	53	19	108
48186	49	45	40
45719	68	25	163
7530	35	54	49
21927	47	37	90
7331	29	54	126
2082	5	14	126
34212	49	64	148
39477	51	40	100
26959	69	50	71
32121	26	55	78
37134	5	13	152
61974	57	10	142
17052	17	60	161
8251	15	32	71
22020	40	37	49
32581	60	55	91
60668	5	79	17
52207	6	69	90
969	58	75	54
55078	1	58	74
6079	21	15	156
52218	47	69	147
1735	26	41	156
60673	5	79	47
30560	24	20	147
12936	15	27	5
58651	4	19	85
28168	34	51	36
36548	16	30	111
34961	19	64	161
26514	41	50	142
6466	26	15	5
33770	48	64	147
18634	51	44	166
3929	59	61	18
6596	77	15	126
8317	73	32	115
12310	63	27	100
41213	26	2	89
29819	35	76	131
56720	6	39	36
37611	30	13	37
6012	18	15	101
32919	56	59	47
551	71	75	161
58936	65	19	100
46129	69	25	80
34161	27	64	70
29431	47	76	163
40989	7	2	131
56593	38	39	85
43451	2	24	37
46811	15	0	88
14063	32	74	41
27786	68	51	115
9534	11	8	94
19162	75	44	52
47525	59	17	8
33834	70	64	111
42130	2	28	65
46448	72	0	17
31885	6	55	36
41215	26	2	47
23433	35	72	94
60983	59	79	142
37818	39	52	166
13309	8	27	90
25344	5	48	36
9602	60	8	111
19117	16	44	108
41191	59	2	142
47496	42	17	94
30430	40	20	48
12006	74	16	2
11376	59	77	101
43884	66	11	27
42368	5	68	134
23924	47	22	116
54686	60	42	88
8869	13	8	104
59503	46	62	142
32859	41	59	78
21147	15	1	23
42412	63	68	87
44154	76	11	42
29508	40	76	133
16674	20	60	42
60787	41	79	101
