label_index	winner_index	loser_index	evaluator_index
7777	19	16	18
6684	21	23	3
3534	9	10	59
12378	1	11	56
11559	26	12	61
10977	16	31	23
8754	8	14	11
8423	31	34	11
6310	3	20	5
7246	0	1	12
5058	28	2	59
13850	33	26	5
6624	26	23	17
13765	28	26	3
5237	17	2	56
7350	30	16	3
7729	0	16	57
2944	21	32	34
6929	18	1	8
3085	23	13	61
10433	18	24	54
7224	21	1	44
11073	8	31	44
11979	31	25	61
5415	10	2	61
8753	8	14	59
13732	4	37	48
4251	14	4	11
5700	23	15	44
9405	11	27	14
6927	18	1	11
6718	19	23	59
3921	30	4	8
13684	26	37	28
3653	8	10	11
9323	15	5	11
13019	18	29	61
8945	21	14	5
10290	20	28	8
9047	12	5	56
12003	36	25	8
4083	18	4	61
12050	21	25	3
5258	8	2	11
1810	0	6	44
2492	26	36	1
5886	26	15	17
8127	25	21	5
3131	37	13	22
12321	14	11	56
8524	25	34	18
1119	8	3	17
9815	34	9	17
3743	27	10	61
939	15	19	34
2306	16	36	17
4745	22	33	44
5045	11	2	56
4339	21	4	26
5048	11	2	34
10022	19	9	11
13997	32	30	18
3740	26	10	5
8330	8	34	63
6279	13	20	55
1531	34	6	18
4707	31	33	54
14028	27	30	6
3963	5	4	56
7616	27	16	17
13236	9	7	61
7927	18	21	43
13316	29	7	46
10160	8	28	41
965	0	19	10
3292	31	13	3
9926	10	9	61
3426	20	13	28
3288	27	13	45
11700	20	12	3
5533	25	2	3
916	22	19	61
47	28	0	59
2052	24	17	18
5232	17	2	3
3928	11	4	17
5361	27	2	18
6091	7	15	38
8424	31	34	11
6337	26	20	5
7454	37	16	18
7553	34	16	36
11052	18	31	17
4525	35	33	54
10547	10	24	44
5160	35	2	3
9816	34	9	17
1641	31	6	18
912	33	19	59
10597	4	24	53
12786	13	8	56
6937	17	1	23
7359	30	16	8
7771	7	16	56
8528	25	34	3
9046	12	5	56
8607	28	14	5
10329	11	24	17
9972	1	9	17
1572	3	6	21
9494	17	27	44
7653	14	16	1
2415	8	36	11
2707	16	32	56
12452	5	18	17
4493	16	33	28
6381	10	20	33
11679	21	12	54
4402	19	4	3
6063	20	15	29
3486	11	10	48
8172	11	34	19
995	25	19	11
9261	31	5	54
2491	26	36	59
8159	30	34	23
8882	10	14	61
7913	29	21	43
12723	23	8	7
13679	26	37	1
6584	8	23	10
7469	37	16	28
4951	26	35	18
4379	25	4	8
308	32	0	61
12580	27	18	59
11718	25	12	59
8981	25	14	39
11635	33	12	44
2078	3	17	58
3109	35	13	59
1059	12	3	5
9572	33	27	5
8726	18	14	39
7924	18	21	56
13651	8	37	3
5717	35	15	3
7484	29	16	11
8841	27	14	18
9627	30	9	14
13416	3	7	3
13923	35	30	59
5825	34	15	17
5543	25	2	11
2589	21	36	56
3717	32	10	21
13529	15	7	56
1659	14	6	44
11119	3	31	23
13218	5	7	44
12703	5	8	56
2436	34	36	2
504	20	0	3
14039	31	30	8
9406	11	27	3
9352	4	5	56
5833	34	15	8
12307	27	11	34
12661	19	18	17
3488	11	10	28
4464	5	33	23
11558	26	12	61
7579	3	16	44
5317	3	2	11
5571	19	2	3
13992	3	30	34
7981	3	21	61
5844	24	15	47
8283	29	34	11
5146	23	2	59
8436	14	34	5
11081	8	31	52
5224	18	2	11
7575	3	16	18
7815	28	21	44
12227	17	11	30
10746	17	22	11
577	30	19	59
203	18	0	59
8670	35	14	44
13212	28	7	11
3277	27	13	23
7057	26	1	61
2664	30	32	31
10697	35	22	54
11160	27	31	44
3927	11	4	17
12236	8	11	11
3543	9	10	10
2048	34	17	11
13006	35	29	45
4626	24	33	17
9502	8	27	44
4644	3	33	17
13795	35	26	5
14013	26	30	39
7649	14	16	59
155	35	0	5
11989	31	25	5
7462	37	16	54
13251	16	7	56
811	3	19	34
8790	24	14	28
11720	7	12	61
5830	34	15	49
3412	4	13	9
10565	22	24	59
4507	23	33	54
1218	15	3	20
4425	30	33	52
5954	36	15	30
13109	31	29	23
5351	26	2	34
10838	31	22	20
6442	25	20	17
2357	37	36	11
12695	28	8	56
1234	4	3	16
8308	17	34	3
2533	14	36	28
12137	9	11	61
3512	5	10	17
11413	37	12	59
6997	34	1	2
2711	16	32	5
