label_index	winner_index	loser_index	evaluator_index
53259	17	40	84
30056	1	68	99
22885	18	4	75
19318	79	3	122
35863	50	21	117
12653	23	47	108
52482	7	52	149
34182	24	22	25
50738	23	36	93
42116	67	11	124
25044	24	64	161
9139	35	76	125
61901	43	14	101
12895	20	12	43
35505	53	21	55
15333	59	38	122
60682	20	49	55
27706	37	8	74
38246	6	31	121
50840	65	36	43
39300	10	27	64
45935	33	69	148
29832	74	68	151
42818	42	11	58
44914	57	55	84
53412	65	40	91
32556	49	17	124
27338	16	8	2
19224	59	3	93
60501	57	44	34
29817	43	68	105
33557	45	22	64
56230	30	45	90
36536	11	32	152
2876	0	6	41
57309	33	24	91
7491	23	35	76
35377	49	21	133
18069	5	29	107
19047	32	3	78
43796	78	9	91
15426	48	38	51
39185	65	27	43
22873	11	4	145
25217	10	64	84
35493	71	21	151
48412	72	75	121
14568	13	60	170
28285	2	8	91
47569	33	71	138
51027	6	36	138
62150	17	14	112
16531	50	28	139
50972	19	36	107
36671	75	32	110
56458	11	23	88
15284	46	38	39
5548	32	34	1
56807	6	23	131
61954	45	14	124
56879	26	24	106
13398	61	12	84
37534	48	31	59
26901	25	26	149
53582	67	39	65
61131	72	49	112
32488	45	17	71
51469	63	78	156
46251	45	37	113
11870	3	7	151
53383	58	40	88
41633	12	15	48
59654	40	2	121
45930	33	69	76
10099	26	13	110
17285	48	77	105
44685	9	55	64
41836	14	15	102
13428	77	12	74
47916	18	75	78
26848	45	26	58
26152	19	46	51
47066	46	71	60
19745	7	3	88
39271	78	27	55
55407	14	51	80
5004	50	42	108
1440	69	48	99
9175	45	76	64
14018	28	12	55
11687	8	7	121
10984	12	7	94
52065	61	52	131
42006	0	15	51
46310	36	37	60
48322	65	75	139
62906	48	20	135
24168	0	41	64
46170	26	37	78
20142	45	53	94
29824	43	68	25
33558	45	22	150
11832	33	7	109
41007	10	30	170
31388	43	5	158
21840	51	58	161
34566	32	19	149
49060	20	67	121
10207	11	13	112
2022	33	66	15
9174	45	76	101
29085	46	56	79
62651	65	74	156
18405	4	29	95
49580	15	67	74
12914	67	12	121
57750	44	1	34
23170	33	4	64
8679	57	72	112
56982	46	24	22
60652	42	44	124
37745	9	31	101
39963	78	61	170
56912	74	24	32
23687	39	41	14
42013	0	15	48
48540	26	79	112
50081	32	36	101
55066	64	51	112
16564	40	28	169
3843	19	63	113
13732	57	12	88
51959	39	52	62
54764	54	50	139
5438	20	34	149
2561	61	6	163
25481	75	43	37
61342	49	10	23
31269	28	73	125
47614	3	71	158
59594	51	2	105
59616	68	2	49
55535	70	51	13
31026	57	73	75
40819	23	30	125
9246	49	76	0
24744	75	64	99
23200	62	4	13
20269	79	53	149
28469	25	62	7
15202	66	38	93
18934	34	3	53
37524	48	31	130
52403	54	52	53
62430	18	74	113
33671	59	22	145
28921	16	56	147
3594	48	63	109
37818	40	31	165
49625	70	67	110
5096	44	42	84
37477	39	31	43
33103	33	17	43
29107	36	56	55
2743	8	6	36
29716	41	56	112
51885	38	52	31
41892	68	15	122
9719	54	76	163
21167	13	70	163
60360	13	44	105
60078	66	44	15
40219	35	30	40
25078	7	64	23
19593	15	3	93
49344	71	67	37
46927	26	71	25
30670	39	73	136
44129	66	55	94
2219	16	6	90
37722	51	31	87
59517	61	2	74
57052	53	24	43
18794	10	29	124
32973	70	17	88
5374	55	42	88
53826	14	39	94
31469	11	5	139
49967	34	36	14
49301	59	67	45
24453	74	64	75
3143	56	0	13
30579	36	73	13
45552	53	69	107
6878	43	35	41
34046	15	22	12
5022	15	42	77
38823	14	27	113
42352	39	11	105
24740	75	64	156
35000	78	19	10
53017	25	40	91
53924	70	39	129
16882	20	77	138
18061	35	29	56
56167	47	45	139
47522	57	71	155
1546	34	66	14
25526	4	43	37
26150	72	46	84
41333	75	65	112
4436	26	42	6
48350	3	75	130
48979	69	79	110
32233	63	5	94
33622	49	22	165
29513	24	56	57
52090	73	52	73
53602	16	39	124
51386	57	78	75
27784	1	8	84
13576	50	12	77
21000	71	70	75
58380	58	57	51
8936	6	72	62
19713	24	3	108
41942	23	15	139
29887	11	68	112
8631	54	72	108
23867	22	41	130
18642	57	29	72
32281	28	5	165
28850	6	62	58
42779	10	11	25
15930	19	38	108
60751	66	49	113
12672	57	47	107
51716	5	52	60
23028	14	4	122
61300	45	10	155
61977	46	14	55
58644	45	18	145
35788	51	21	169
32185	10	5	149
50444	77	36	122
15510	77	38	75
51410	65	78	113
5124	23	42	74
31303	67	5	124
20282	60	53	135
35161	12	21	74
11074	35	7	13
26377	53	16	58
16566	40	28	124
19800	0	3	23
45863	23	69	122
1737	39	66	84
52340	31	52	78
57809	65	1	169
50415	61	36	102
29012	66	56	101
20301	75	53	130
42001	65	15	40
33050	57	17	13
25850	25	46	33
49376	79	67	78
34702	39	19	58
56151	15	45	45
5539	74	34	37
9227	46	76	42
35703	14	21	15
26612	58	16	168
59108	28	18	51
44468	48	55	148
62478	56	74	112
38487	5	27	124
17114	49	77	125
4545	45	42	139
33829	75	22	105
40957	76	30	131
30284	72	68	113
49036	41	79	121
44169	5	55	160
23198	3	4	37
29016	66	56	124
10866	2	13	156
56363	20	23	113
54153	67	50	25
30797	1	73	79
50045	43	36	165
6602	8	33	121
389	37	54	85
42325	56	11	53
54094	55	39	113
27374	43	8	64
2259	74	6	161
61465	37	10	163
28444	49	62	131
56386	16	23	13
8664	24	72	108
48577	35	79	95
31893	15	5	113
59449	79	2	34
38945	68	27	109
37011	2	32	58
55165	35	51	34
57866	19	1	78
35560	60	21	145
35084	34	21	31
46228	66	37	45
25154	3	64	83
52040	29	52	13
11966	72	7	161
62749	16	20	121
40900	33	30	34
10119	43	13	107
7891	16	72	91
26363	27	16	147
9688	8	76	145
59665	47	2	156
52165	4	52	163
52601	76	52	112
52704	63	52	118
44247	49	55	23
16580	31	28	88
1287	31	48	113
44128	66	55	101
29019	35	56	164
50486	1	36	117
32942	40	17	1
53926	8	39	125
40641	51	30	31
55802	2	51	58
57794	58	1	31
7892	16	72	91
17028	35	77	78
26096	65	46	110
7212	37	35	139
23939	15	41	23
14100	12	60	131
10583	47	13	163
6692	76	33	164
51810	36	52	45
55981	27	45	25
20815	43	70	84
34197	57	22	64
33114	65	17	147
23391	26	41	99
50623	15	36	145
57661	37	1	145
24872	13	64	121
57542	45	1	14
55639	33	51	121
26912	59	26	155
24335	28	41	40
62500	79	74	13
4608	49	42	55
35784	51	21	139
57097	75	24	135
2325	11	6	31
8800	76	72	165
59071	19	18	58
46269	18	37	91
31812	13	5	76
26736	42	16	163
39400	6	27	124
13527	9	12	121
35570	48	21	122
38964	50	27	110
492	51	54	84
56026	60	45	18
3869	2	63	135
18225	56	29	112
25368	66	43	156
2293	66	6	94
38364	16	27	34
31574	27	5	87
45122	72	55	101
14657	40	60	161
44445	60	55	91
17519	40	77	25
55617	58	51	149
19165	46	3	25
62731	2	74	112
14114	26	60	14
8028	45	72	109
20237	38	53	23
27103	54	26	53
39285	10	27	120
53995	33	39	45
36522	45	32	161
4225	57	25	93
21735	39	58	60
666	58	54	5
3373	63	0	51
13289	39	12	147
37166	74	31	23
30324	2	68	156
8609	44	72	79
48060	29	75	108
36561	46	32	25
61749	62	10	99
35582	48	21	19
44793	47	55	85
49254	46	67	74
29438	70	56	105
15177	32	38	113
55409	14	51	55
30051	1	68	12
29394	15	56	165
27176	0	26	72
14253	46	60	76
48026	79	75	51
46026	72	69	58
17431	51	77	43
10988	26	7	122
10018	28	76	45
21993	0	58	25
60393	17	44	121
54677	15	50	161
4099	61	25	1
18128	46	29	53
49048	28	79	135
2488	79	6	60
54723	70	50	91
17759	69	77	1
55556	44	51	64
48250	23	75	53
33360	67	22	60
57224	15	24	101
61490	14	10	155
61577	15	10	88
46254	45	37	88
31512	46	5	74
8158	38	72	113
871	34	48	60
24197	62	41	25
12141	52	47	90
1524	28	48	13
11063	66	7	139
62776	43	20	108
38976	15	27	15
62691	78	74	55
14317	27	60	58
60542	65	44	85
11988	19	7	93
4648	25	42	115
47313	4	71	87
25996	15	46	149
25800	66	46	122
45550	53	69	99
3788	65	63	48
51768	18	52	169
30	34	54	109
56570	29	23	112
18278	79	29	158
51865	27	52	31
31864	17	5	58
54038	76	39	54
56945	35	24	95
54335	46	50	55
11290	53	7	31
57142	14	24	72
20844	32	70	34
58492	19	57	84
58734	39	18	51
16327	53	28	105
60397	50	44	135
13816	0	12	23
28271	6	8	156
40357	38	30	95
28219	19	8	75
28606	4	62	85
21062	75	70	163
35068	67	21	161
15501	73	38	93
44451	60	55	158
61730	0	10	91
48422	19	75	99
26910	59	26	95
11083	35	7	142
47948	49	75	55
7075	27	35	15
8113	25	72	66
28649	17	62	112
33889	73	22	85
12298	46	47	40
17113	49	77	149
30213	65	68	139
61403	71	10	147
35179	43	21	149
326	39	54	75
49249	46	67	139
11753	24	7	31
61991	49	14	15
37479	39	31	155
42308	59	11	64
29325	4	56	102
27340	12	8	95
34780	1	19	31
54961	72	50	48
19844	76	3	56
29028	5	56	161
31359	12	5	40
30248	62	68	34
41074	41	30	76
32516	18	17	15
1638	11	66	88
17757	69	77	31
2697	15	6	163
43984	34	55	170
51087	16	78	125
19698	23	3	145
14738	23	60	122
2791	24	6	107
17963	52	29	147
52249	17	52	51
62475	38	74	13
2466	39	6	161
23143	7	4	13
47575	65	71	113
43788	69	9	168
20409	51	53	94
45510	38	69	58
28022	57	8	169
46540	50	37	78
56362	28	45	37
27987	23	8	45
23622	27	41	85
26240	74	16	51
60940	4	49	88
51847	59	52	91
12985	26	12	151
44850	44	55	90
13917	10	12	138
60105	11	44	58
7873	64	72	112
8087	49	72	151
27753	77	8	163
29129	59	56	88
47417	40	71	53
9199	18	76	156
49038	6	79	78
53105	60	40	113
22271	25	59	51
29088	46	56	108
23728	48	41	110
