label_index	winner_index	loser_index	evaluator_index
0	21	19	165
1	21	19	169
2	21	19	169
3	21	19	31
6	21	19	114
10	13	19	31
12	13	19	44
13	13	19	44
14	13	19	38
21	42	19	50
22	42	19	44
25	50	19	31
26	50	19	31
28	50	19	132
29	50	19	133
31	50	19	117
32	50	19	114
34	50	19	84
36	50	19	15
37	29	19	165
38	29	19	31
40	29	19	210
41	29	19	168
42	29	19	148
43	38	19	165
50	38	19	142
51	35	19	31
56	35	19	103
61	48	19	109
62	48	19	103
63	58	19	165
68	58	19	109
69	62	19	160
72	62	19	181
73	62	19	181
75	49	19	31
76	49	19	31
77	49	19	204
80	49	19	103
82	47	19	204
85	15	19	210
88	15	19	84
89	28	19	160
90	28	19	31
92	28	19	117
98	28	19	190
99	79	19	169
103	79	19	55
104	79	19	50
105	79	19	56
110	79	19	171
111	79	19	151
112	6	19	169
114	6	19	132
117	6	19	50
121	6	19	109
123	61	19	169
124	61	19	204
126	61	19	210
128	61	19	84
129	5	19	31
132	5	19	103
134	41	19	169
137	41	19	152
138	41	19	152
139	41	19	111
140	41	19	206
143	68	19	160
151	4	19	109
153	4	19	136
157	72	19	210
158	72	19	117
159	72	19	52
165	11	19	44
166	11	19	90
167	11	19	109
172	11	19	110
173	11	19	15
174	37	19	169
175	37	19	44
177	37	19	90
182	37	19	84
183	37	19	15
184	46	19	31
188	46	19	181
189	40	19	31
190	40	19	44
194	40	19	103
199	52	19	111
201	52	19	168
204	60	19	210
205	60	19	44
207	60	19	84
208	60	19	161
211	1	19	132
216	1	19	71
217	69	19	44
218	69	19	90
220	69	19	38
221	69	19	84
226	73	19	44
229	80	19	91
231	80	19	44
232	80	19	114
234	80	19	103
235	80	19	103
236	24	19	204
239	24	19	44
240	24	19	90
241	24	19	184
242	24	19	11
243	24	19	15
247	65	19	170
249	54	19	44
252	54	19	181
254	54	19	84
256	45	19	210
257	45	19	44
264	45	19	84
265	44	19	204
266	44	19	204
269	31	19	31
271	31	19	210
272	31	19	50
273	31	19	117
274	31	19	44
275	31	19	44
276	31	19	90
282	51	19	210
283	51	19	117
285	51	19	103
286	51	19	151
287	14	19	204
288	14	19	204
289	14	19	132
290	14	19	152
291	14	19	50
295	14	19	44
300	20	19	50
304	20	19	181
306	20	19	1
307	20	19	103
308	20	19	15
309	20	19	75
310	26	19	50
313	10	19	132
314	10	19	132
315	10	19	210
316	10	19	55
317	10	19	50
318	10	19	50
320	10	19	84
322	63	19	91
323	63	19	117
325	63	19	114
326	63	19	114
329	64	19	117
330	64	19	181
331	2	19	204
335	2	19	152
343	16	19	169
344	16	19	169
345	16	19	204
347	16	19	50
348	16	19	117
349	16	19	44
352	71	19	31
354	71	19	204
357	71	19	132
359	71	19	44
361	71	19	77
362	71	19	71
367	33	19	152
368	33	19	210
369	33	19	50
372	33	19	38
373	33	19	84
375	3	19	204
376	3	19	132
379	3	19	44
381	3	19	38
384	3	19	12
385	3	19	15
391	67	19	117
392	67	19	117
393	67	19	44
401	30	19	103
402	32	19	204
403	32	19	204
405	32	19	132
406	32	19	132
408	32	19	44
409	32	19	84
415	34	19	152
419	34	19	84
424	12	19	204
428	12	19	114
430	12	19	109
432	12	19	15
434	8	19	204
436	8	19	152
439	8	19	103
446	43	19	181
448	43	19	157
451	25	19	204
452	25	19	132
459	27	19	44
460	27	19	181
463	7	19	210
464	7	19	210
466	7	19	84
468	7	19	141
469	7	19	15
470	55	19	31
472	55	19	152
473	55	19	117
475	55	19	90
476	55	19	90
478	55	19	84
479	55	19	1
480	55	19	103
482	36	19	160
483	36	19	210
485	74	19	31
487	74	19	44
488	74	19	90
490	74	19	151
491	53	19	160
492	53	19	31
495	53	19	84
497	53	19	15
502	22	19	84
504	70	19	160
508	70	19	44
509	70	19	44
510	70	19	90
512	70	19	136
516	59	19	210
521	59	19	103
522	17	19	169
523	17	19	31
524	17	19	204
527	17	19	50
530	17	19	143
531	77	19	132
533	77	19	117
534	77	19	44
538	77	19	103
543	18	19	55
549	39	19	204
552	39	19	151
555	66	19	117
556	66	19	117
558	66	19	38
559	66	19	84
560	66	19	77
561	66	19	103
563	75	19	169
564	75	19	169
565	75	19	204
568	75	19	1
569	57	19	204
571	57	19	181
572	57	19	103
573	56	19	50
574	56	19	50
575	56	19	117
577	56	19	90
581	76	19	44
582	21	22	165
583	21	22	160
587	21	22	181
588	0	22	210
590	0	22	25
593	0	22	44
601	13	22	181
602	13	22	168
604	13	22	82
609	42	22	132
611	42	22	44
613	42	22	26
618	50	22	31
622	50	22	132
624	50	22	65
627	50	22	15
630	29	22	210
635	38	22	25
638	38	22	182
641	38	22	11
646	35	22	181
648	35	22	207
650	48	22	204
656	48	22	44
658	48	22	181
659	58	22	204
660	58	22	152
661	58	22	152
666	62	22	160
667	62	22	31
668	62	22	210
671	62	22	65
673	62	22	181
676	49	22	160
677	49	22	204
680	49	22	180
682	49	22	38
684	47	22	204
688	47	22	103
689	47	22	148
691	47	22	15
692	15	22	165
698	15	22	167
703	28	22	160
704	28	22	204
708	28	22	44
709	28	22	44
711	28	22	38
714	28	22	103
728	6	22	150
729	6	22	50
731	6	22	44
734	6	22	84
735	6	22	7
736	6	22	15
737	6	22	15
744	61	22	103
745	61	22	15
747	5	22	44
750	41	22	210
752	41	22	44
753	41	22	111
754	41	22	38
756	41	22	109
758	41	22	205
759	41	22	172
760	68	22	160
762	68	22	44
763	68	22	103
769	4	22	152
770	4	22	210
771	4	22	44
773	4	22	38
774	4	22	84
775	4	22	136
777	72	22	165
778	72	22	160
786	72	22	92
787	11	22	2
788	11	22	2
794	11	22	84
795	11	22	84
797	11	22	77
799	37	22	50
800	37	22	44
804	37	22	103
805	37	22	12
806	46	22	133
807	46	22	44
809	46	22	172
810	40	22	204
823	52	22	109
824	60	22	160
829	60	22	84
830	60	22	103
833	1	22	204
834	1	22	210
837	1	22	168
842	1	22	22
843	1	22	15
844	69	22	160
849	69	22	55
850	69	22	117
857	73	22	44
860	73	22	38
863	73	22	80
866	80	22	210
869	80	22	65
872	80	22	136
875	80	22	207
876	24	22	165
877	24	22	160
878	24	22	160
880	24	22	204
881	24	22	55
882	24	22	50
890	24	22	38
893	54	22	160
894	54	22	204
899	54	22	152
900	54	22	152
902	54	22	38
903	54	22	38
904	54	22	109
906	54	22	115
908	45	22	44
910	45	22	181
911	45	22	84
915	45	22	103
918	45	22	15
921	44	22	204
922	44	22	180
924	44	22	117
925	31	22	204
926	31	22	204
934	31	22	84
935	31	22	84
936	31	22	7
937	31	22	15
938	78	22	160
939	78	22	160
941	78	22	103
942	51	22	160
951	14	22	204
955	14	22	90
957	14	22	33
958	14	22	168
967	20	22	11
968	20	22	157
969	20	22	15
970	20	22	15
971	20	22	15
973	26	22	26
974	10	22	31
979	10	22	38
980	10	22	84
981	10	22	1
982	10	22	22
983	63	22	160
985	63	22	152
986	63	22	50
993	63	22	143
995	63	22	170
996	63	22	15
997	64	22	204
998	2	22	160
1002	2	22	44
1007	2	22	84
1008	2	22	1
1009	2	22	41
1010	19	22	31
1014	19	22	210
1018	19	22	26
1019	19	22	38
1020	19	22	38
1023	19	22	40
1028	16	22	122
1029	16	22	84
1031	16	22	103
1033	71	22	160
1035	71	22	50
1039	71	22	44
1040	71	22	90
1044	71	22	85
1051	33	22	167
1052	33	22	109
1053	33	22	103
1054	3	22	165
1055	3	22	160
1056	3	22	160
1060	3	22	152
1065	3	22	181
1066	3	22	84
1067	3	22	84
1068	3	22	84
1069	3	22	115
1076	67	22	26
1077	67	22	84
1080	67	22	15
1081	67	22	15
1082	67	22	15
1083	32	22	160
1089	32	22	44
1091	32	22	181
1092	32	22	167
1093	32	22	38
1094	32	22	80
1096	34	22	50
1098	34	22	84
1099	34	22	84
1101	34	22	109
1102	34	22	109
1103	34	22	185
1105	34	22	136
1107	34	22	41
1109	9	22	132
1110	9	22	210
1111	9	22	210
1112	9	22	184
1114	12	22	160
1117	12	22	50
1119	12	22	181
1120	12	22	84
1122	12	22	168
1123	12	22	85
1124	12	22	103
1125	12	22	157
1126	12	22	157
1127	12	22	110
1128	8	22	152
1129	8	22	210
1130	8	22	55
1135	8	22	90
1136	8	22	33
1137	8	22	157
1140	43	22	204
1142	43	22	210
1143	43	22	210
1147	43	22	61
1148	25	22	204
1149	25	22	2
1154	25	22	130
1160	25	22	168
1162	27	22	44
1165	7	22	44
1170	55	22	91
1171	55	22	117
1176	55	22	181
1178	55	22	84
1180	55	22	103
1182	55	22	157
1185	36	22	132
1191	36	22	116
1192	36	22	103
1193	36	22	157
1199	74	22	132
1204	74	22	117
1207	53	22	178
1208	53	22	84
1210	53	22	43
1211	70	22	204
1212	70	22	204
1213	70	22	204
1214	70	22	133
1215	70	22	55
1216	70	22	50
1218	70	22	44
1219	70	22	84
1220	70	22	75
1221	70	22	190
1223	59	22	204
1224	59	22	2
1225	59	22	132
1226	59	22	210
1228	59	22	181
1232	59	22	15
1236	17	22	152
