label_index	winner_index	loser_index	evaluator_index
1	18	57	37
4	18	57	94
9	18	57	130
12	18	57	185
13	18	57	98
14	18	57	98
15	18	57	20
17	18	57	123
19	39	57	79
20	39	57	51
21	39	57	223
23	39	57	158
24	39	57	116
30	39	57	180
38	45	57	249
39	45	57	63
41	45	57	246
46	5	57	129
47	5	57	37
48	5	57	37
49	5	57	37
50	5	57	37
52	5	57	101
55	5	57	246
57	5	57	123
58	5	57	29
63	56	57	184
65	56	57	130
67	56	57	185
68	56	57	98
72	56	57	52
75	15	57	27
79	15	57	158
81	15	57	249
84	15	57	63
87	15	57	180
88	15	57	29
92	52	57	223
93	52	57	223
95	52	57	249
96	52	57	249
99	52	57	63
106	72	57	27
108	72	57	184
110	72	57	249
111	72	57	63
112	72	57	63
113	72	57	98
114	72	57	98
115	72	57	98
120	41	57	79
121	41	57	27
123	41	57	94
124	41	57	184
125	41	57	249
126	41	57	249
127	41	57	249
131	41	57	247
139	25	57	94
140	25	57	223
143	25	57	98
144	25	57	142
146	25	57	123
149	9	57	79
150	9	57	255
154	9	57	200
155	9	57	98
157	9	57	1
158	9	57	123
161	9	57	180
162	9	57	180
164	50	57	27
165	50	57	158
166	50	57	158
168	50	57	249
172	50	57	63
174	50	57	247
176	50	57	123
180	4	57	223
181	4	57	158
183	4	57	249
184	4	57	130
186	4	57	63
190	4	57	167
192	74	57	37
194	74	57	223
196	74	57	63
198	74	57	20
199	74	57	238
200	74	57	128
201	74	57	128
202	74	57	169
203	74	57	29
207	73	57	79
208	73	57	129
211	73	57	158
214	73	57	179
218	65	57	99
219	65	57	79
221	65	57	37
222	65	57	158
223	65	57	158
226	65	57	98
228	65	57	180
232	77	57	162
233	77	57	27
234	77	57	37
235	77	57	94
237	77	57	48
242	77	57	74
245	46	57	79
246	46	57	27
247	46	57	130
257	17	57	184
261	17	57	17
262	17	57	17
265	17	57	66
268	17	57	180
272	43	57	99
273	43	57	223
276	43	57	48
277	43	57	63
278	43	57	98
279	43	57	246
283	35	57	99
284	35	57	99
291	35	57	29
300	14	57	98
305	14	57	1
311	75	57	249
313	75	57	98
316	75	57	123
318	75	57	44
321	48	57	162
322	48	57	99
328	48	57	247
330	48	57	41
331	48	57	180
332	48	57	180
337	62	57	158
339	62	57	63
340	62	57	98
343	62	57	247
344	62	57	29
346	78	57	99
348	78	57	158
349	78	57	76
352	78	57	247
354	78	57	180
357	23	57	223
361	23	57	224
367	23	57	123
368	23	57	189
373	1	57	79
374	1	57	27
377	1	57	48
384	47	57	37
386	47	57	158
388	47	57	63
389	47	57	98
391	55	57	37
393	55	57	249
394	55	57	48
395	55	57	98
399	55	57	29
403	63	57	37
404	63	57	94
405	63	57	158
407	63	57	130
409	63	57	63
410	63	57	63
411	63	57	63
413	63	57	123
418	6	57	162
420	6	57	255
422	6	57	224
424	6	57	20
431	27	57	37
433	27	57	249
434	27	57	48
435	27	57	98
443	53	57	184
445	53	57	48
446	53	57	63
450	53	57	1
452	53	57	204
455	70	57	37
457	70	57	158
458	70	57	249
464	70	57	20
466	70	57	29
467	70	57	8
473	31	57	130
475	31	57	63
476	31	57	185
483	19	57	27
486	19	57	249
488	19	57	142
489	19	57	246
493	59	57	37
495	59	57	158
496	59	57	158
499	59	57	106
502	59	57	247
504	59	57	1
511	64	57	133
512	64	57	185
515	64	57	98
518	64	57	180
522	28	57	162
525	28	57	158
528	28	57	48
529	28	57	63
530	28	57	135
534	69	57	223
535	69	57	184
537	69	57	158
539	69	57	249
542	69	57	17
543	69	57	178
545	69	57	246
548	69	57	29
550	22	57	99
554	22	57	60
558	22	57	246
559	22	57	128
560	22	57	167
567	30	57	63
568	30	57	63
569	30	57	63
571	30	57	247
572	30	57	180
573	13	57	99
578	13	57	184
579	13	57	130
580	13	57	130
582	13	57	179
586	13	57	239
591	12	57	162
593	12	57	184
596	12	57	135
598	12	57	180
599	12	57	180
600	12	57	29
602	3	57	162
603	3	57	129
605	3	57	223
606	3	57	223
608	3	57	184
614	40	57	184
618	40	57	246
621	40	57	155
628	32	57	37
634	32	57	48
637	32	57	116
638	32	57	246
640	7	57	27
644	7	57	184
645	7	57	249
651	76	57	27
656	76	57	158
657	76	57	249
658	76	57	232
660	76	57	247
663	76	57	52
669	36	57	158
671	36	57	63
672	36	57	116
677	16	57	79
678	16	57	71
691	16	57	1
692	16	57	128
697	10	57	158
698	10	57	180
700	38	57	143
712	38	57	1
713	38	57	112
730	58	57	37
733	58	57	17
736	58	57	247
737	58	57	29
739	61	57	255
740	61	57	158
743	61	57	63
744	61	57	98
747	61	57	247
748	61	57	1
749	61	57	123
750	61	57	52
751	61	57	180
755	68	57	79
756	68	57	37
758	68	57	223
765	68	57	178
766	68	57	98
768	49	57	180
773	79	57	223
774	79	57	249
775	79	57	63
780	79	57	41
790	20	57	48
802	44	57	249
806	44	57	185
809	44	57	167
810	44	57	29
812	11	57	79
816	11	57	94
817	11	57	249
818	11	57	249
819	11	57	185
820	11	57	98
821	11	57	20
823	11	57	131
825	11	57	86
828	66	57	27
832	66	57	224
835	66	57	52
839	26	57	223
841	26	57	249
844	26	57	32
846	26	57	247
849	2	57	37
860	2	57	29
864	54	57	37
869	54	57	249
870	54	57	48
871	54	57	185
874	54	57	189
878	42	57	79
879	42	57	37
880	42	57	158
883	42	57	48
885	42	57	63
889	29	57	223
890	29	57	158
891	29	57	158
893	29	57	249
894	29	57	98
898	8	57	129
902	8	57	63
903	8	57	98
904	8	57	98
905	8	57	29
906	8	57	74
907	71	57	99
908	71	57	37
909	71	57	37
910	71	57	223
915	71	57	167
916	71	57	29
917	71	57	29
919	60	57	158
921	60	57	249
922	60	57	249
923	60	57	63
925	60	57	116
928	60	57	52
929	60	57	181
930	34	57	99
933	34	57	158
935	34	57	98
937	34	57	82
943	24	57	76
945	24	57	98
947	24	57	123
949	37	57	184
950	37	57	184
954	37	57	98
958	37	57	169
960	37	57	22
962	33	57	99
966	33	57	48
967	33	57	60
969	33	57	185
970	33	57	173
971	33	57	246
975	33	57	8
976	51	57	27
980	51	57	123
981	51	57	123
983	51	57	74
984	67	57	162
985	67	57	162
990	18	61	94
992	18	61	63
994	18	61	169
995	18	61	29
996	39	61	162
998	39	61	214
1001	45	61	98
1003	45	61	52
1009	5	61	63
1010	5	61	98
1012	5	61	247
1013	5	61	180
1016	56	61	116
1021	15	61	25
1023	15	61	158
1027	15	61	199
1028	15	61	114
1030	52	61	162
1037	72	61	162
1039	72	61	184
1043	72	61	98
1046	41	61	99
1048	41	61	52
1049	41	61	29
1055	25	61	98
1058	25	61	247
1060	25	61	180
1061	25	61	180
1062	25	61	169
1066	9	61	162
1068	9	61	184
1069	9	61	184
1071	9	61	48
1073	9	61	239
1075	50	61	162
1076	50	61	27
1077	50	61	27
1078	50	61	71
1079	50	61	37
1081	50	61	94
1082	50	61	184
1083	50	61	48
1085	50	61	63
1089	50	61	52
1094	4	61	63
1095	4	61	63
1097	4	61	169
1101	74	61	99
1105	74	61	169
1107	74	61	86
1109	73	61	79
1110	73	61	116
1111	73	61	116
1114	73	61	29
1119	65	61	25
1123	65	61	247
1124	65	61	52
1128	77	61	128
1129	77	61	180
1130	77	61	180
1133	46	61	184
1134	46	61	158
1138	17	61	184
1145	57	61	162
1148	57	61	52
1149	57	61	13
1151	43	61	162
1152	43	61	99
1153	43	61	37
1156	43	61	246
1158	43	61	52
1160	35	61	223
1161	35	61	184
1169	14	61	247
1171	14	61	29
1172	75	61	162
1174	75	61	184
1178	75	61	247
1179	48	61	162
1180	48	61	99
1181	48	61	79
1185	48	61	142
1186	48	61	86
1189	62	61	173
1191	62	61	160
1194	23	61	99
1196	23	61	223
1199	23	61	98
1202	23	61	169
1203	1	61	48
1204	1	61	63
1205	1	61	178
1206	47	61	223
1211	55	61	25
1212	55	61	247
