label_index	winner_index	loser_index	evaluator_index
8	29	52	73
22	50	52	131
35	11	52	73
53	23	52	170
100	40	52	131
118	16	52	96
125	21	52	73
137	53	52	131
138	53	52	131
155	6	52	73
156	6	52	73
167	35	52	121
207	38	52	131
259	28	52	131
260	28	52	131
261	28	52	131
262	28	52	131
268	28	52	73
271	28	52	170
272	28	52	170
288	61	52	121
289	61	52	121
301	48	52	170
307	8	52	121
310	17	52	131
313	17	52	121
326	65	52	121
362	55	52	73
367	55	52	160
380	32	52	83
384	60	52	131
393	30	52	131
411	20	52	73
412	20	52	73
417	20	52	121
424	31	52	73
438	39	52	73
448	45	52	131
464	9	52	73
469	9	52	111
484	51	52	170
486	51	52	121
489	58	52	73
534	44	52	170
564	62	52	83
580	41	52	131
587	43	52	131
595	43	52	73
601	59	52	127
612	5	52	73
636	50	43	73
648	23	43	131
649	23	43	131
650	23	43	131
653	23	43	73
666	19	43	131
675	19	43	20
682	63	43	73
703	16	43	131
731	53	43	73
737	53	43	170
742	6	43	73
748	35	43	143
781	10	43	131
785	10	43	73
794	25	43	131
812	46	43	143
825	47	43	160
833	28	43	131
835	28	43	73
867	48	43	170
877	17	43	143
930	55	43	96
932	49	43	73
960	33	43	73
964	33	43	170
970	20	43	73
987	45	43	131
991	45	43	73
992	45	43	170
993	45	43	170
1004	9	43	157
1031	2	43	79
1040	44	43	131
1062	27	43	73
1071	62	43	73
1081	41	43	73
1122	50	8	131
1132	50	8	170
1138	11	8	66
1147	3	8	121
1149	23	8	131
1159	23	8	170
1183	19	8	160
1191	63	8	73
1195	24	8	131
1196	24	8	131
1203	24	8	73
1234	21	8	131
1235	21	8	131
1253	52	8	131
1288	6	8	131
1297	6	8	170
1301	35	8	131
1310	35	8	73
1319	42	8	131
1329	15	8	131
1375	38	8	170
1379	25	8	131
1401	57	8	73
1408	57	8	75
1423	47	8	73
1463	61	8	121
1487	17	8	73
1506	65	8	121
1521	1	8	73
1546	49	8	131
1550	49	8	73
1552	49	8	170
1558	60	8	131
1561	60	8	25
1583	33	8	25
1606	31	8	170
1608	31	8	64
1615	39	8	73
1618	39	8	92
1632	45	8	170
1652	9	8	170
1670	51	8	20
1671	51	8	121
1690	2	8	131
1702	2	8	73
1705	34	8	131
1713	34	8	170
1717	44	8	131
1744	37	8	73
1749	37	8	25
1752	37	8	170
1753	37	8	170
1766	62	8	73
1770	62	8	170
1781	41	8	131
1807	59	8	73
1819	5	8	73
1823	29	14	131
1850	50	14	73
1857	50	14	180
1870	3	14	157
1912	19	14	121
1923	63	14	170
1942	40	14	131
1962	16	14	66
1964	21	14	73
1965	21	14	170
1966	21	14	170
1981	52	14	73
1994	53	14	73
2003	6	14	131
2014	6	14	170
2022	35	14	73
2044	42	14	73
2052	15	14	73
2073	54	14	160
2084	10	14	73
2089	10	14	170
2095	38	14	131
2099	38	14	73
2102	38	14	170
2131	57	14	160
2136	46	14	180
2154	12	14	170
2168	28	14	170
2212	17	14	131
2220	17	14	122
2233	65	14	170
2236	65	14	121
2242	64	14	73
2245	64	14	170
2246	64	14	170
2247	64	14	92
2258	55	14	131
2268	55	14	170
2273	55	14	75
2279	49	14	73
2299	60	14	170
2310	30	14	170
2312	33	14	131
2326	20	14	73
2331	20	14	121
2340	31	14	170
2341	31	14	170
2346	39	14	131
2353	39	14	73
2372	45	14	121
2387	9	14	121
2401	51	14	73
2411	56	14	73
2428	2	14	170
2441	34	14	170
2458	44	14	170
2476	37	14	170
2479	37	14	160
2495	62	14	157
2515	41	14	170
2516	41	14	170
2531	59	14	131
2570	36	59	170
2596	3	59	143
2601	3	59	170
2627	26	59	170
2632	19	59	73
2662	24	59	73
2683	16	59	131
2693	16	59	170
2694	16	59	92
2783	15	59	131
2791	15	59	160
2798	54	59	73
2804	10	59	131
2810	10	59	73
2816	38	59	131
2850	57	59	160
2861	47	59	131
2862	47	59	131
2903	61	59	73
2926	8	59	73
2932	8	59	170
2946	65	59	131
2961	64	59	131
2965	64	59	73
2969	64	59	170
2977	1	59	73
2987	14	59	170
3008	49	59	131
3009	49	59	131
3048	30	59	73
3055	33	59	131
3067	33	59	170
3078	31	59	131
3082	31	59	170
3096	39	59	73
3132	51	59	131
3167	2	59	73
3178	34	59	73
3186	34	59	180
3196	44	59	73
3224	27	59	73
3225	27	59	73
3229	27	59	180
3232	62	59	83
3236	62	59	170
3237	62	59	170
3244	62	59	121
3266	43	59	131
3300	29	11	170
3313	36	11	170
3339	23	11	131
3343	23	11	73
3362	26	11	73
3368	26	11	122
3370	19	11	131
3371	19	11	131
3372	19	11	131
3384	19	11	170
3385	19	11	75
3396	63	11	157
3402	63	11	170
3403	63	11	20
3418	24	11	66
3442	16	11	73
3464	18	11	73
3470	52	11	131
3525	6	11	170
3536	35	11	73
3559	42	11	20
3560	42	11	121
3622	38	11	96
3626	25	11	83
3650	57	11	170
3651	57	11	170
3655	46	11	131
3673	47	11	170
3682	12	11	20
3683	28	11	131
3691	28	11	73
3718	48	11	143
3753	17	11	73
3770	65	11	170
3775	65	11	64
3788	64	11	73
3802	14	11	131
3831	49	11	131
3856	60	11	131
3866	60	11	121
3879	33	11	131
3890	33	11	20
3892	33	11	79
3904	31	11	131
3920	39	11	131
3921	39	11	131
3929	39	11	157
3945	45	11	73
3964	9	11	170
3967	9	11	66
3984	58	11	131
4014	34	11	131
4015	34	11	131
4023	34	11	73
4028	34	11	170
4074	37	11	170
4083	62	11	131
4094	62	11	73
4098	62	11	170
4115	41	11	170
4116	41	11	170
4138	43	11	170
4141	59	11	131
4198	50	40	73
4216	3	40	73
