label_index	winner_index	loser_index	evaluator_index
2	20	54	120
6	20	54	152
13	20	54	163
14	20	54	163
15	20	54	163
19	67	54	163
30	34	54	109
34	64	54	101
45	16	54	12
59	16	54	163
60	16	54	109
72	26	54	139
73	26	54	6
81	26	54	163
103	74	54	139
104	74	54	139
105	74	54	139
112	74	54	163
128	66	54	82
135	66	54	101
136	66	54	124
137	66	54	109
145	35	54	101
153	5	54	163
156	45	54	139
162	45	54	101
179	11	54	163
193	46	54	12
199	46	54	139
215	49	54	152
221	49	54	101
225	49	54	163
232	25	54	12
239	25	54	101
256	59	54	101
269	27	54	101
289	56	54	6
292	71	54	12
299	71	54	124
308	53	54	101
314	53	54	163
315	53	54	163
344	79	54	163
357	48	54	155
360	48	54	163
372	29	54	12
384	37	54	139
388	37	54	101
403	61	54	109
430	14	54	101
435	14	54	109
449	1	54	109
451	4	54	120
465	4	54	124
466	4	54	124
483	13	54	163
489	51	54	139
496	51	54	163
500	9	54	139
503	9	54	101
529	17	54	163
547	15	54	124
548	15	54	163
549	15	54	163
569	47	54	109
570	47	54	109
579	70	54	101
595	44	54	155
607	23	54	139
614	23	54	163
615	23	54	163
629	24	54	109
643	57	54	124
654	7	54	101
655	58	54	12
660	58	54	139
664	58	54	79
676	33	54	101
687	65	54	139
722	3	54	104
736	76	54	101
738	69	54	12
751	78	54	139
758	78	54	163
760	78	54	109
762	10	54	139
782	19	54	101
787	63	54	12
795	63	54	124
798	63	54	109
864	67	48	124
899	16	48	109
906	26	48	139
927	43	48	101
945	74	48	124
957	32	48	109
983	45	48	101
986	45	48	124
1012	46	48	163
1013	46	48	104
1019	49	48	101
1040	25	48	124
1045	59	48	139
1051	59	48	101
1081	71	48	124
1082	71	48	124
1111	39	48	124
1186	1	48	101
1194	4	48	139
1213	51	48	12
1251	50	48	124
1257	15	48	139
1258	15	48	139
1263	15	48	101
1268	15	48	124
1286	47	48	124
1300	70	48	124
1315	44	48	146
1340	23	48	124
1342	23	48	163
1400	65	48	101
1403	65	48	163
1410	0	48	155
1417	0	48	109
1424	62	48	139
1447	78	48	12
1449	78	48	139
1474	19	48	128
1482	63	48	139
1507	41	48	12
1522	2	48	124
1539	20	66	101
1544	67	66	101
1559	52	66	163
1564	16	66	101
1565	16	66	124
1566	16	66	124
1572	12	66	163
1578	26	66	109
1579	26	66	109
1581	43	66	128
1592	43	66	124
1612	32	66	6
1635	45	66	124
1691	25	66	124
1703	27	66	82
1710	38	66	101
1718	56	66	163
1751	79	66	101
1754	79	66	163
1755	79	66	163
1756	60	66	128
1772	48	66	124
1779	75	66	148
1784	29	66	12
1800	37	66	163
1809	61	66	109
1819	77	66	12
1823	77	66	109
1830	14	66	79
1844	1	66	124
1854	4	66	124
1855	4	66	163
1863	13	66	82
1868	13	66	109
1929	47	66	101
1940	8	66	128
1960	54	66	124
1961	54	66	7
1969	23	66	101
1971	23	66	124
1994	30	66	101
2007	58	66	101
2010	58	66	124
2011	58	66	124
2013	33	66	21
2021	33	66	101
2024	33	66	124
2025	33	66	124
2026	33	66	163
2028	65	66	12
2064	62	66	101
2068	62	66	163
2086	78	66	139
2097	78	66	163
2116	19	66	6
2126	63	66	12
2161	28	66	128
2197	64	6	155
2203	64	6	124
2204	64	6	7
2213	16	6	139
2214	16	6	139
2227	12	6	139
2228	12	6	139
2229	12	6	146
2242	26	6	163
2253	43	6	163
2254	43	6	163
2262	74	6	6
2267	74	6	163
2270	74	6	109
2279	32	6	101
2280	32	6	163
2286	66	6	139
