label_index	winner_index	loser_index	evaluator_index
0	62	0	87
3	62	0	134
4	62	0	57
5	62	0	114
11	62	0	1
14	62	0	19
23	65	0	134
24	65	0	134
26	65	0	123
27	65	0	116
28	65	0	151
29	65	0	14
36	16	0	89
38	16	0	134
39	16	0	9
45	16	0	88
46	16	0	151
51	78	0	9
52	78	0	57
53	78	0	114
56	78	0	123
60	75	0	89
61	75	0	37
62	75	0	102
63	75	0	1
64	75	0	155
68	26	0	87
70	26	0	51
73	26	0	155
74	26	0	14
76	54	0	48
81	54	0	134
83	54	0	114
86	54	0	37
89	54	0	123
94	58	0	117
96	58	0	37
97	58	0	19
102	61	0	89
106	61	0	37
108	61	0	1
110	61	0	151
112	14	0	48
117	14	0	50
118	14	0	114
119	14	0	25
120	14	0	19
121	14	0	151
127	66	0	9
128	66	0	9
129	66	0	57
130	66	0	51
131	66	0	155
141	33	0	87
149	33	0	37
154	2	0	48
155	2	0	48
157	2	0	57
159	2	0	1
162	2	0	123
167	73	0	87
171	73	0	134
172	73	0	134
173	73	0	9
174	73	0	37
175	73	0	102
181	39	0	134
191	41	0	134
199	41	0	110
203	4	0	50
204	4	0	9
211	55	0	48
224	40	0	114
230	74	0	78
233	74	0	134
234	74	0	9
235	74	0	51
236	74	0	114
237	74	0	102
245	8	0	51
250	8	0	19
254	27	0	50
255	27	0	50
257	27	0	134
258	27	0	134
259	27	0	9
261	27	0	25
266	71	0	57
271	71	0	123
272	71	0	123
284	72	0	9
285	72	0	57
287	72	0	102
292	49	0	50
293	49	0	50
296	49	0	134
299	49	0	102
302	49	0	155
312	32	0	57
313	32	0	114
318	32	0	155
319	32	0	110
320	76	0	48
325	76	0	57
326	76	0	57
329	76	0	129
334	22	0	87
336	22	0	50
337	22	0	89
338	22	0	57
339	22	0	129
340	22	0	155
345	35	0	134
352	35	0	151
359	19	0	37
360	19	0	25
364	19	0	46
365	18	0	87
366	18	0	48
369	18	0	37
372	9	0	87
373	9	0	48
374	9	0	48
378	9	0	57
379	9	0	57
380	9	0	57
387	17	0	129
396	15	0	89
401	15	0	37
404	15	0	155
406	15	0	123
413	52	0	50
415	52	0	51
416	52	0	114
418	52	0	123
421	36	0	87
422	36	0	48
423	36	0	57
425	36	0	102
430	36	0	36
432	5	0	134
434	5	0	9
436	5	0	117
437	5	0	37
440	5	0	123
444	59	0	48
452	59	0	102
453	59	0	155
454	59	0	19
455	59	0	151
458	59	0	53
459	25	0	87
465	25	0	57
466	25	0	114
473	25	0	5
482	48	0	37
483	48	0	37
488	34	0	57
489	34	0	57
490	34	0	114
493	34	0	117
497	34	0	19
505	56	0	87
509	56	0	89
513	56	0	51
517	37	0	134
518	37	0	134
528	80	0	134
530	80	0	57
531	80	0	117
532	80	0	102
534	80	0	151
536	80	0	13
538	50	0	48
540	50	0	89
541	50	0	9
552	53	0	123
553	53	0	110
554	53	0	151
555	53	0	151
564	68	0	114
566	68	0	37
569	68	0	13
570	68	0	92
571	67	0	87
576	67	0	78
581	67	0	25
582	67	0	123
583	67	0	46
584	7	0	48
588	7	0	89
590	7	0	134
591	7	0	51
601	10	0	50
604	10	0	114
605	10	0	86
607	10	0	37
610	10	0	25
611	10	0	123
612	10	0	156
616	70	0	9
627	47	0	48
632	47	0	9
636	47	0	155
637	47	0	25
639	47	0	69
647	64	0	129
650	64	0	102
651	64	0	155
652	64	0	155
656	64	0	123
659	57	0	57
661	57	0	155
662	57	0	155
666	57	0	19
667	57	0	13
668	57	0	46
672	21	0	134
673	21	0	134
674	21	0	51
675	21	0	129
676	21	0	129
680	21	0	25
681	12	0	50
682	12	0	57
683	12	0	25
685	46	0	48
689	46	0	134
690	46	0	57
691	46	0	57
695	46	0	13
698	44	0	9
699	44	0	9
702	44	0	25
705	31	0	48
713	31	0	25
722	42	0	134
724	42	0	1
725	42	0	155
729	42	0	73
730	79	0	87
731	79	0	87
740	79	0	102
742	79	0	63
743	79	0	151
745	60	0	87
747	60	0	89
748	60	0	89
750	60	0	114
752	60	0	129
756	60	0	155
757	60	0	19
759	6	0	131
760	6	0	134
761	6	0	57
765	6	0	129
768	6	0	25
769	6	0	123
770	6	0	13
774	24	0	50
775	24	0	89
784	51	0	134
790	51	0	19
791	51	0	151
792	51	0	151
795	11	0	50
796	11	0	89
800	11	0	57
802	11	0	25
803	11	0	110
805	29	0	48
807	29	0	37
808	29	0	37
811	30	0	87
815	30	0	51
821	30	0	46
823	45	0	57
829	45	0	155
832	28	0	48
833	28	0	48
838	28	0	9
840	28	0	37
841	28	0	1
843	28	0	19
849	20	0	57
855	20	0	102
856	20	0	25
859	38	0	57
862	38	0	1
863	38	0	13
865	69	0	134
866	69	0	9
867	69	0	86
869	69	0	37
870	69	0	37
875	43	0	48
881	43	0	9
883	43	0	25
890	63	0	9
891	63	0	51
903	13	0	134
904	13	0	57
906	13	0	114
908	13	0	129
909	13	0	117
911	1	0	134
913	1	0	155
916	23	0	50
918	23	0	57
924	3	0	37
928	3	0	155
929	3	0	13
930	3	0	13
931	62	30	87
934	62	30	48
946	65	30	129
948	65	30	123
951	16	30	87
959	16	30	56
965	78	30	25
973	26	30	50
975	26	30	102
978	26	30	123
980	54	30	50
981	54	30	8
983	54	30	86
985	54	30	25
989	58	30	57
990	58	30	129
993	58	30	123
994	58	30	19
1001	61	30	6
1002	61	30	9
1003	61	30	51
1004	61	30	51
1007	61	30	102
1008	61	30	155
1009	61	30	58
1012	61	30	92
1013	14	30	50
